                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r23.05.1"          1.9986325976443591E+000          1.5989060781154874E+000          2.7645235194116240E+003                       "gfortran"                         "10.2.0"            "x86_64-linux-21.4.1"                       "20260331" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index                       Omega_star                        Omega_orb 
                               1          1.0000000000000000E+002          2.7622595103327021E+003          1.2694386948774720E+003          1.0333928869681783E+001          1.2916736409728804E+001          5.0571299107933180E+002          4.5671453261448175E+002         -2.7816653847766376E-001         -1.0000000000000000E+000          1.9985282093261612E+000          1.5989060784482383E+000         -1.1452304105325419E+001         -5.9813480992820711E+000         -1.1477880366549110E+001         -9.8999999999999986E+001         -1.2694976730720809E+001         -5.9813495676302173E+000         -9.8999999999999986E+001          1.0000000000000000E+000          3.1876287320496948E-006          3.6267314352343489E+053         -3.6282027215814873E+040          0.0000000000000000E+000         -4.2256096421943747E+025         -5.3397332821618947E+039         -3.0942293933652936E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.1328816775197899E-008          2.6327016666754581E-008 
                               2          1.8000000000000000E+002          2.7618783828560368E+003          1.2693152500803349E+003          1.0334512861095003E+001          1.2917099620735723E+001          5.0566065031878537E+002          4.5667318318246669E+002         -3.0917744598331254E-001         -1.0000000000000000E+000          1.9984714690639731E+000          1.5989060784526723E+000         -1.3230728718287086E+001         -6.1491986487181514E+000         -1.3256304979522074E+001         -9.8999999999999986E+001         -1.4473401343496228E+001         -6.1491986847141531E+000         -9.8999999999999986E+001          1.0000000000000000E+000          7.8143645760410869E-008          3.6264807304303378E+053         -9.9304448061300658E+039          0.0000000000000000E+000         -4.2334919784473351E+025         -3.5754188807719237E+039         -6.3550259253580992E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.4858032780222959E-008          2.6330649683143940E-008 
                               3          2.4400000000000000E+002          2.7619524530454551E+003          1.2693359590093069E+003          1.0334452803279383E+001          1.2916915456369697E+001          5.0566795910286686E+002          4.5668154508642408E+002         -3.3297994243285167E-001         -1.0000000000000000E+000          1.9984545898256389E+000          1.5989060784527764E+000         -1.4763199195132776E+001         -6.5788271285335282E+000         -1.4788775456367915E+001         -9.8999999999999986E+001         -1.6005871820339436E+001         -6.5788271313741422E+000         -9.8999999999999986E+001          1.0000000000000000E+000          6.1666836842690613E-009          3.6264881915476736E+053          3.6941959582702763E+038          0.0000000000000000E+000         -4.2347906988550625E+025         -1.3137173191767956E+039          1.6831369150038655E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.6845227009321511E-008          2.6329943546364726E-008 
                               4          2.9519999999999999E+002          2.7621520795541987E+003          1.2693963553755123E+003          1.0334216300200190E+001          1.2916577779507703E+001          5.0569165636231889E+002          4.5670362594494952E+002         -3.4887622721329409E-001         -1.0000000000000000E+000          1.9984480800990529E+000          1.5989060784528135E+000         -1.5115381713244139E+001         -6.8957072127458243E+000         -1.5140957974479280E+001         -9.8999999999999986E+001         -1.6358054338450739E+001         -6.8957072153646699E+000         -9.8999999999999986E+001          1.0000000000000000E+000          5.6852456983808848E-009          3.6265659347774344E+053          4.8115904132901937E+039          0.0000000000000000E+000         -4.2345016029423851E+025         -6.2802789166446866E+038          5.4396183049547044E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.8354428753839482E-008          2.6328040626266845E-008 
                               5          3.3615999999999997E+002          2.7622913032829319E+003          1.2694386285515052E+003          1.0334048890647935E+001          1.2916347567420381E+001          5.0570831589424398E+002          4.5671901016904206E+002         -3.5902956619731119E-001         -1.0000000000000000E+000          1.9984448356584907E+000          1.5989060784528184E+000         -1.5891383304144220E+001         -7.1012201256134269E+000         -1.5916959565379365E+001         -9.8999999999999986E+001         -1.7134055929350801E+001         -7.1012201263175054E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.5284828149768837E-009          3.6266220675141765E+053          4.3426247341872168E+039          0.0000000000000000E+000         -4.2337758386998028E+025         -3.8910110229584601E+038          4.7317258364831049E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.9424682759828611E-008          2.6326713652539683E-008 
                               6          3.6892800000000000E+002          2.7624476296159364E+003          1.2694862953682202E+003          1.0333857647957261E+001          1.2916096066966388E+001          5.0572719741770851E+002          4.5673626392431134E+002         -3.6622617254120721E-001         -1.0000000000000000E+000          1.9984429063076361E+000          1.5989060784528188E+000         -1.6665016789833626E+001         -7.2300387230598062E+000         -1.6690593051068770E+001         -9.8999999999999986E+001         -1.7907689415040206E+001         -7.2300387232193222E+000         -9.8999999999999986E+001          1.0000000000000000E+000          3.4629456222761295E-010          3.6266876270830031E+053          6.3398967713069895E+039          0.0000000000000000E+000         -4.2332710815252287E+025         -2.8807392160188332E+038          6.6279706929089155E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.0200795190504014E-008          2.6325223829325936E-008 
                               7          3.9514240000000001E+002          2.7625949258720325E+003          1.2695312741867024E+003          1.0333676386537512E+001          1.2915861404274157E+001          5.0574504574643601E+002          4.5675251415583369E+002         -3.7118185693693789E-001         -1.0000000000000000E+000          1.9984416518647814E+000          1.5989060784528188E+000         -1.7232338987611048E+001         -7.3200890398154259E+000         -1.7257915248846192E+001         -9.8999999999999986E+001         -1.8475011612817628E+001         -7.3200890398685790E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.1539149258417217E-010          3.6267502303968944E+053          7.5675175019859646E+039          0.0000000000000000E+000         -4.2327076936862541E+025         -2.3347430826372936E+038          7.8009918102497362E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.0746379167567312E-008          2.6323820218946926E-008 
                               8          4.1783264643662187E+002          2.7627335653807481E+003          1.2695736368156035E+003          1.0333505334036783E+001          1.2915641516659289E+001          5.0576186924048756E+002          4.5676780630374469E+002         -3.7511219630458703E-001         -1.0000000000000000E+000          1.9984407091835164E+000          1.5989060784528188E+000         -1.7636825240702233E+001         -7.3814743367480924E+000         -1.7662401501937378E+001         -9.8999999999999986E+001         -1.8879497865908814E+001         -7.3814743367722162E+000         -9.8999999999999986E+001          1.0000000000000000E+000          5.2368825611454516E-011          3.6268095042964518E+053          8.2779027522061732E+039          0.0000000000000000E+000         -4.2321778238168103E+025         -2.0224636408121234E+038          8.4801491162874280E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.1182284681563862E-008          2.6322499236877428E-008 
                               9          4.3977877698185205E+002          2.7628749732907590E+003          1.2696168617636190E+003          1.0333330598634630E+001          1.2915417846386562E+001          5.0577904333286023E+002          4.5678340184644475E+002         -3.7843261672547224E-001         -1.0000000000000000E+000          1.9984398934332073E+000          1.5989060784528188E+000         -1.7962523014786328E+001         -7.4298007115072693E+000         -1.7988099276021472E+001         -9.8999999999999986E+001         -1.9205195639992908E+001         -7.4298007115200058E+000         -9.8999999999999986E+001          1.0000000000000000E+000          2.7650401091856069E-011          3.6268701751980041E+053          8.7602908047144929E+039          0.0000000000000000E+000         -4.2316794541259620E+025         -1.8060333358350645E+038          8.9408941382980421E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.1554125621476553E-008          2.6321152013554135E-008 
                              10          4.6207651493535019E+002          2.7630239242141456E+003          1.2696624038973303E+003          1.0333146355578480E+001          1.2915182686053996E+001          5.0579714391546878E+002          4.5679982778509429E+002         -3.8147841750918721E-001         -1.0000000000000000E+000          1.9984391385216456E+000          1.5989060784528188E+000         -1.8244834236340399E+001         -7.4703647304608811E+000         -1.8270410497575543E+001         -9.8999999999999986E+001         -1.9487506861546979E+001         -7.4703647304681802E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.5847261809755711E-011          3.6269342344105582E+053          9.1036766013661209E+039          0.0000000000000000E+000         -4.2311714957710470E+025         -1.6420880068793890E+038          9.2678854020541017E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.1895819245682709E-008          2.6319733075461471E-008 
                              11          4.8524990463253835E+002          2.7631831068075312E+003          1.2697110836286045E+003          1.0332949306055699E+001          1.2914931741839965E+001          5.0581649634389260E+002          4.5681738071425144E+002         -3.8431899248422369E-001         -1.0000000000000000E+000          1.9984384180351324E+000          1.5989060784528188E+000         -1.8507392957272785E+001         -7.5073637096755812E+000         -1.8532969218507926E+001         -9.8999999999999986E+001         -1.9750065582479362E+001         -7.5073637096799244E+000         -9.8999999999999986E+001          1.0000000000000000E+000          9.4274555014356234E-012          3.6270028189118160E+053          9.3784799157265645E+039          0.0000000000000000E+000         -4.2306367980269688E+025         -1.5054951044415431E+038          9.5290294261707611E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          3.2215254588403721E-008          2.6318216837410561E-008 
