0 2.46483 0.74011 1.72472 3.90963 34926
1 2.46483 0.74240 1.72243 3.96903 44664
2 2.46482 0.74389 1.72093 4.05970 49110
3 2.46482 0.74489 1.71993 4.11690 53716
4 2.46481 0.74554 1.71927 4.15452 58298
5 2.46479 0.74598 1.71881 4.18156 63079
6 2.46475 0.74632 1.71843 4.20194 68009
7 2.46467 0.74663 1.71804 4.21731 72962
8 2.46447 0.74697 1.71750 4.22921 78035
9 2.46398 0.74730 1.71668 4.23897 83073
10 2.46275 0.74759 1.71516 4.24711 88281
11 2.45968 0.74784 1.71184 4.25388 93575
12 2.45219 0.74807 1.70412 4.25956 98899
13 2.43303 0.74830 1.68473 4.26420 104272
14 2.37217 0.74853 1.62364 4.26700 109671
15 1.98659 0.74883 1.23776 4.25949 112727
16 1.52791 0.74903 0.77888 4.24929 116431
