# Initial mass = 1.700, Z =  0.0006, Y =  0.240, M_mix = 2.00E-03
# Final mass = 0.662, Mass expelled =   1.0380  
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
    s32     32  -5.7882971E-08  1.3296055E-05  1.3353938E-05  1.2809301E-05  1.2866125E-05 -1.9223727E-03
    s33     33   6.0505343E-09  1.1630405E-07  1.1025352E-07  1.1204629E-07  1.0622601E-07  2.3166651E-02
    s34     34   2.5128088E-08  6.6634311E-07  6.4121502E-07  6.4194899E-07  6.1779178E-07  1.6658414E-02
    s35     35   1.5439196E-24  1.5439196E-24  0.0000000E+00  1.4873983E-24  0.0000000E+00  0.0000000E+00
    s36     36   5.3432476E-09  8.5084677E-09  3.1652201E-09  8.1969818E-09  3.0495961E-09  4.2941165E-01
   cl35     35  -2.6656295E-09  1.3432486E-07  1.3699049E-07  1.2940737E-07  1.3198628E-07 -8.5697556E-03
   cl36     36   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cl37     37   2.4152147E-08  7.0436776E-08  4.6284629E-08  6.7858160E-08  4.4593872E-08  1.8232691E-01
   ar36     36  -5.4225893E-08  2.4967421E-06  2.5509680E-06  2.4053390E-06  2.4577823E-06 -9.3671624E-03
   ar37     37   4.7238588E-24  4.7238588E-24  0.0000000E+00  4.5509236E-24  0.0000000E+00  0.0000000E+00
   ar38     38   1.8045625E-08  5.0762389E-07  4.8957827E-07  4.8904030E-07  4.7169422E-07  1.5684064E-02
   ar39     39   8.2048246E-13  8.2048246E-13  0.0000000E+00  7.9044545E-13  0.0000000E+00  0.0000000E+00
   ar40     40   4.3796922E-09  5.2039399E-09  8.2424756E-10  5.0134292E-09  7.9413814E-10  8.0023885E-01
    k39     39   2.9107525E-09  1.3572033E-07  1.3280957E-07  1.3075176E-07  1.2795810E-07  9.3797483E-03
    k40     40  -2.1500796E-11  0.0000000E+00  2.1500796E-11  0.0000000E+00  2.0715383E-11  0.0000000E+00
    k41     41   3.0948542E-09  1.3170661E-08  1.0075807E-08  1.2688497E-08  9.7077431E-09  1.1629193E-01
   ca40     40  -4.2309466E-08  2.2571519E-06  2.2994614E-06  2.1745200E-06  2.2154629E-06 -8.1011122E-03
   ca41     41   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca42     42   2.5466225E-09  1.8661151E-08  1.6114528E-08  1.7977985E-08  1.5525872E-08  6.3685000E-02
   ca43     43   5.5135363E-10  3.9937360E-09  3.4423824E-09  3.8475294E-09  3.3166341E-09  6.4484403E-02
   ca44     44   2.0667876E-09  5.6496333E-08  5.4429545E-08  5.4428064E-08  5.2441262E-08  1.6149715E-02
   ca45     45   7.2865302E-25  7.2865302E-25  0.0000000E+00  7.0197779E-25  0.0000000E+00  0.0000000E+00
   ca46     46   2.1715929E-09  2.2807085E-09  1.0911553E-10  2.1972142E-09  1.0512959E-10  1.3201474E+00
   ca47     47   4.6133335E-35  4.6133335E-35  0.0000000E+00  4.4444443E-35  0.0000000E+00  0.0000000E+00
