0 0.77130 0.55207 0.21923 3.36426 33639
1 0.77129 0.55928 0.21201 3.45554 39542
2 0.77127 0.56859 0.20268 3.54114 43382
3 0.77118 0.57607 0.19511 3.71782 48037
4 0.77101 0.58494 0.18607 3.75576 51230
5 0.77067 0.59396 0.17671 3.78990 60021
6 0.76852 0.60203 0.16649 3.84576 74925
7 0.76401 0.61076 0.15325 3.87153 84969
8 0.75668 0.61946 0.13722 3.89726 95413
9 0.74507 0.62807 0.11700 3.92186 106693
10 0.72836 0.63663 0.09173 3.94550 120713
11 0.68365 0.64466 0.03899 3.98089 137928
12 0.68365 0.64466 0.03899 3.98089 137928
