  1 1.07796e+08 1.07796e+08 4.99995 0.863219 0 41.74 0.002272
6.37749e-24  2.45047e-20  2.13367e-32  0  0.235517  1.71074e-28  0  0  0.00338369  3.41718e-14  6.23926e-07  
1.62945e-18  4.10493e-05  8.54702e-09  6.04737e-35  2.18808e-21  1.45789e-05  3.43385e-09  0.00031104  1.06804e-19  6.26116e-24  
3.68803e-09  1.47027e-09  2.35648e-22  2.16734e-28  5.58098e-05  4.55183e-09  0.000279723  1.4679e-18  3.73102e-25  2.67411e-16  
4.61889e-06  3.62565e-15  4.8339e-33  2.09621e-05  1.35462e-06  1.05714e-06  1.83082e-19  6.65e-22  2.02267e-06  7.02695e-26  
8.72962e-06  1.25555e-17  1.161e-24  2.35757e-05  1.18412e-06  8.02758e-07  2.19369e-07  2.56194e-15  1.39591e-16  9.79419e-06  
8.2061e-08  4.4337e-07  5.64054e-15  2.14668e-09  9.11763e-08  1.51121e-09  5.23779e-08  1.64346e-06  2.95106e-13  3.04669e-07  
1.74511e-12  4.94455e-10  8.03903e-08  1.22772e-09  6.11733e-09  1.33988e-06  8.15014e-09  9.33834e-09  1.86756e-09  2.89923e-08  
2.16432e-14  1.11884e-10  1.62666e-18  2.60481e-09  9.95234e-10  1.80278e-15  1.20101e-18  4.05324e-26  4.73353e-09  3.9536e-09  
4.13354e-08  5.03266e-09  3.13903e-09  5.89265e-09  2.60296e-07  2.71247e-08  1.17545e-08  2.8094e-07  1.35987e-06  1.8428e-11  
2.26018e-05  6.63411e-07  1.09574e-07  3.54164e-14  4.8313e-15  5.31117e-08  1.23922e-12  7.43307e-07  2.38623e-08  2.89109e-07  
2.39544e-08  4.12413e-08  1.72122e-12  1.1293e-08  1.02862e-08  2.77815e-16  5.03476e-09  1.41106e-08  1.02088e-13  8.33611e-09  
1.38126e-09  5.83022e-09  2.48613e-18  1.83766e-10  6.40604e-10  5.2688e-19  3.47398e-10  6.11987e-10  3.30717e-16  7.38936e-10  
2.04061e-10  9.93818e-10  1.08464e-10  2.19365e-10  9.96732e-11  3.99362e-10  2.77537e-11  7.40064e-10  4.89099e-11  1.49151e-19  
1.12444e-10  7.26785e-11  1.92611e-11  1.98823e-10  1.04449e-10  7.48075e-10  1.1118e-14  1.03648e-18  2.18715e-10  1.07023e-10  
2.84349e-16  4.69176e-11  8.94349e-11  3.89067e-11  4.51903e-10  8.48484e-17  1.78225e-21  1.06512e-10  3.24666e-18  8.84006e-23  
1.25094e-10  2.71352e-11  4.20023e-11  2.53999e-12  4.06188e-11  4.1217e-17  6.63834e-12  1.15765e-11  3.74962e-12  5.64776e-17  
6.02943e-12  9.94366e-12  1.24306e-11  5.42689e-12  1.58458e-11  1.41718e-12  2.39003e-12  7.08979e-12  2.85524e-12  1.54772e-11  
4.61402e-12  8.05136e-12  3.06857e-12  1.14045e-11  2.00288e-12  8.19682e-12  2.2194e-12  6.81839e-22  3.96575e-12  3.21607e-12  
1.36165e-16  6.98371e-12  3.22082e-12  9.70966e-12  3.67421e-12  1.18689e-11  3.00635e-12  1.36231e-11  5.66177e-12  2.0029e-11  
7.07226e-12  2.79703e-11  3.33022e-12  3.77346e-12  1.21304e-12  5.18309e-12  4.85466e-12  2.16819e-11  1.17761e-11  5.90861e-20  
4.41848e-19  1.50464e-11  1.61793e-11  2.40462e-11  1.80956e-11  4.12874e-11  8.03242e-18  1.18228e-11  6.60573e-12  3.75705e-17  
3.01851e-13  3.80152e-19  9.05258e-23  7.11763e-12  4.43564e-12  1.14228e-11  1.17684e-11  7.84792e-11  1.05195e-11  2.42277e-11  
4.78139e-18  2.90428e-12  3.69505e-12  5.95015e-12  1.89601e-12  5.12545e-12  1.26665e-12  4.10194e-12  2.15854e-18  9.26372e-13  
1.23827e-16  2.69689e-22  4.17332e-13  1.29904e-12  2.17024e-13  1.11133e-12  5.71463e-16  1.54101e-12  1.0541e-13  4.38136e-16  
4.06741e-13  3.09231e-18  4.50051e-21  1.36488e-13  1.66314e-17  1.12023e-12  4.26059e-13  2.02773e-12  8.68106e-13  2.95962e-12  
4.32234e-19  1.35978e-12  6.46059e-13  2.89301e-18  9.20565e-19  1.1483e-12  5.96595e-13  3.23463e-12  1.40503e-12  4.49591e-12  
