      g    1.0000E-08      1
      p    7.1540E-01      1
      d    2.4422E-05      2
    he3    1.0356E-04      3
    he4    6.2374E-02      4
    li6    1.0123E-10      6
    li7    4.9067E-09      7
    be9    1.7582E-11      9
    b10    8.9935E-11     10
    b11    3.6200E-10     11
    c12    2.1401E-04     12
    c13    2.3928E-06     13
    n14    5.4210E-05     14
    n15    1.2111E-07     15
    o16    9.8170E-04     16
    o17    1.4918E-07     17
    o18    7.8723E-07     18
    f19    1.9279E-08     19
   ne20    1.5894E-04     20
   ne21    1.5240E-07     21
   ne22    4.6747E-06     22
   na23    1.2737E-06     23
   mg24    6.4318E-05     24
   mg25    3.1994E-06     25
   mg26    3.5226E-06     26
   al27    2.0657E-06     27
   si28    6.0000E-05     28
   si29    1.2179E-06     29
   si30    8.0286E-07     30
    p31    1.8840E-07     31
    s32    1.0057E-05     32
    s33    8.0517E-08     33
    s34    4.5450E-07     34
    s36    2.1189E-09     36
   cl35    9.4326E-08     35
   cl37    3.0147E-08     37
   ar36    1.7077E-06     36
   ar38    3.1049E-07     38
   ar40    4.9660E-10     40
    k39    8.2068E-08     39
    k40    1.2954E-11     40
    k41    5.9225E-09     41
   ca40    1.3854E-06     40
   ca42    9.2465E-09     42
   ca43    1.9293E-09     43
   ca44    2.9812E-08     44
   ca46    5.7166E-11     46
   ca48    2.6725E-09     48
   sc45    8.2238E-10     45
   ti46    4.9151E-09     46
   ti47    4.4325E-09     47
   ti48    4.3920E-08     48
   ti49    3.2231E-09     49
   ti50    3.0861E-09     50
    v50    1.6711E-11     50
    v51    6.6679E-09     51
   cr50    1.3902E-08     50
   cr52    2.6808E-07     52
   cr53    3.0398E-08     53
   cr54    7.5667E-09     54
   mn55    2.2135E-07     55
   fe54    1.4855E-06     54
   fe56    2.3318E-05     56
   fe57    5.3852E-07     57
   fe58    7.1668E-08     58
   co59    5.4334E-08     59
   ni58    7.9081E-07     58
   ni60    3.0462E-07     60
   ni61    1.3242E-08     61
   ni62    4.2220E-08     62
   ni64    1.0752E-08     64
   cu63    9.0156E-09     63
   cu65    4.0184E-09     65
   zn64    1.5205E-08     64
   zn66    8.7233E-09     66
   zn67    1.2819E-09     67
   zn68    5.8624E-09     68
   zn70    1.9385E-10     70
   ga69    5.2967E-10     69
   ga71    3.5153E-10     71
   ge70    5.8073E-10     70
   ge72    7.6743E-10     72
   ge73    2.1540E-10     73
   ge74    1.0110E-09     74
   ge76    2.1206E-10     76
   as75    1.4624E-10     75
   se74    1.4271E-11     74
   se76    1.5025E-10     76
   se77    1.2235E-10     77
   se78    3.8116E-10     78
   se80    7.9551E-10     80
   se82    1.3999E-10     82
   br79    1.2882E-10     79
   br81    1.2532E-10     81
   kr78    4.7183E-12     78
   kr80    3.0317E-11     80
   kr82    1.5191E-10     82
   kr83    1.5049E-10     83
   kr84    7.4167E-10     84
   kr86    2.2429E-10     86
   rb85    1.7194E-10     85
   rb87    7.0762E-11     87
   sr84    3.1025E-12     84
   sr86    5.4865E-11     86
   sr87    3.8342E-11     87
   sr88    4.5969E-10     88
    y89    1.1887E-10     89
   zr90    1.2778E-10     90
   zr91    2.7866E-11     91
   zr92    4.2593E-11     92
   zr94    4.3164E-11     94
   zr96    6.9540E-12     96
   nb93    1.8840E-11     93
   mo92    9.2724E-12     92
   mo94    5.8418E-12     94
   mo95    1.0111E-11     95
   mo96    1.0643E-11     96
   mo97    6.1278E-12     97
   mo98    1.5571E-11     98
  mo100    6.2714E-12    100
   ru96    2.3366E-12     96
   ru98    7.8871E-13     98
   ru99    5.3818E-12     99
  ru100    5.3143E-12    100
  ru101    7.1954E-12    101
  ru102    1.3307E-11    102
  ru104    7.8533E-12    104
  rh103    8.4154E-12    103
  pd102    3.3394E-13    102
