                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r23.05.1"          1.9859916232403485E+000          7.9439664929613940E-001          2.8911209976036662E+003                       "gfortran"                         "10.2.0"            "x86_64-linux-21.4.1"                       "20260322" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                              10          4.6350481787156224E+002          2.8982805786656768E+003          1.2024143624386090E+003          6.0044195255421124E+000          1.4985069093842611E+001          5.5277298228318614E+002          3.6455777791199279E+002         -3.4426551453337967E-001         -1.0000000000000000E+000          1.9825544867519971E+000          7.9439666218130567E-001         -1.5135562253739892E+001         -6.1324967223566542E+000         -1.5161138515844117E+001         -9.8999999999999986E+001         -1.6378234864619419E+001         -6.1324967227878933E+000         -9.8999999999999986E+001          1.0000000000000000E+000          9.3617751592469359E-010          1.9800594473995459E+053         -6.6730069705437219E+038          0.0000000000000000E+000         -1.0925145584430440E+025         -6.6730069705436123E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              20          6.9698556134113983E+002          2.8984849855261705E+003          1.2024567629609310E+003          6.0044195258709356E+000          1.4984328969885986E+001          5.5278719018991933E+002          3.6457528131730214E+002         -3.7615971454123392E-001         -1.0000000000000000E+000          1.9824565667699627E+000          7.9439666218134286E-001         -1.7247190375091389E+001         -6.6160629818459533E+000         -1.7272766637195616E+001         -9.8999999999999986E+001         -1.8489862985970859E+001         -6.6160629818561070E+000         -9.8999999999999986E+001          1.0000000000000000E+000          2.2044301622273609E-011          1.9800314697910674E+053         -2.1917244259829706E+038          0.0000000000000000E+000         -1.0922332329550407E+025         -2.1917244259828614E+038          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              30          9.2845144813190291E+002          2.8985534812010305E+003          1.2024709708282064E+003          6.0044195259070010E+000          1.4984080975917653E+001          5.5279195102041331E+002          3.6458114653788891E+002         -4.0622779098179368E-001         -1.0000000000000000E+000          1.9824237566621199E+000          7.9439666218134286E-001         -1.9818682953319033E+001         -7.0569820957045568E+000         -1.9844259215423261E+001         -9.8999999999999986E+001         -2.1061355564198500E+001         -7.0569820957046323E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.6320102433332672E-013          1.9800220948998530E+053         -7.9410347553982815E+037          0.0000000000000000E+000         -1.0921395709447023E+025         -7.9410347553971897E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              40          1.1900358738394959E+003          2.8985836037254007E+003          1.2024772190073957E+003          6.0044195259137849E+000          1.4983971917761163E+001          5.5279404467699135E+002          3.6458372588887011E+002         -4.3343888077911696E-001         -1.0000000000000000E+000          1.9824093280485675E+000          7.9439666218134286E-001         -2.2503676031088858E+001         -7.4333634631899370E+000         -2.2529252293193085E+001         -9.8999999999999986E+001         -2.3746348641968325E+001         -7.4333634631899370E+000         -9.8999999999999986E+001          1.0000000000000000E+000          8.0188330190484145E-016          1.9800179721189702E+053         -3.3381069162622595E+037          0.0000000000000000E+000         -1.0920990543022294E+025         -3.3381069162611672E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              50          1.4777882080452227E+003          2.8985981973554658E+003          1.2024802460866674E+003          6.0044195259153668E+000          1.4983919082354138E+001          5.5279505899682067E+002          3.6458497551888553E+002         -4.5866782770766074E-001         -1.0000000000000000E+000          1.9824023378184639E+000          7.9439666218134286E-001         -2.5401247791001150E+001         -7.7692463063037511E+000         -2.5426824053105378E+001         -9.8999999999999986E+001         -2.6643920401880617E+001         -7.7692463063037511E+000         -9.8999999999999986E+001          1.0000000000000000E+000          2.1999978337924789E-018          1.9800159747405580E+053         -1.5403506140147074E+037          0.0000000000000000E+000         -1.0920794730291184E+025         -1.5403506140136154E+037          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              60          1.7833682029062538E+003          2.8986056677712972E+003          1.2024817956324873E+003          6.0044195259157789E+000          1.4983892036294311E+001          5.5279557822125776E+002          3.6458561519836218E+002         -4.8204069633361801E-001         -1.0000000000000000E+000          1.9823987595707453E+000          7.9439666218134286E-001         -2.8521533717903758E+001         -8.0697568583660200E+000         -2.8547109980007988E+001         -9.8999999999999986E+001         -2.9764206328783228E+001         -8.0697568583660200E+000         -9.8999999999999986E+001          1.0000000000000000E+000          3.3315541639227153E-021          1.9800149522933819E+053         -7.7109902369274658E+036          0.0000000000000000E+000         -1.0920694868546011E+025         -7.7109902369165453E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              70          2.1038574556347053E+003          2.8986097491457003E+003          1.2024826422079072E+003          6.0044195259159023E+000          1.4983877260039984E+001          5.5279586189303882E+002          3.6458596467956994E+002         -5.0392313314655823E-001         -1.0000000000000000E+000          1.9823968046428280E+000          7.9439666218134286E-001         -3.1859319681838706E+001         -8.3381627806821079E+000         -3.1884895943942933E+001         -9.8999999999999986E+001         -3.3101992292718172E+001         -8.3381627806821079E+000         -9.8999999999999986E+001          1.0000000000000000E+000          2.8396632222428018E-024          1.9800143936919241E+053         -4.1562804311624197E+036          0.0000000000000000E+000         -1.0920640547580212E+025         -4.1562804311514992E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              80          2.4354050507713027E+003          2.8986121089836383E+003          1.2024831316949035E+003          6.0044195259159432E+000          1.4983868716470191E+001          5.5279602591104015E+002          3.6458616674844865E+002         -5.2430824267899356E-001         -1.0000000000000000E+000          1.9823956743115145E+000          7.9439666218134286E-001         -3.5406957237837823E+001         -8.5781177617134272E+000         -3.5432533499942053E+001         -9.8999999999999986E+001         -3.6649629848717296E+001         -8.5781177617134272E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.3982481769764586E-027          1.9800140707105012E+053         -2.3919396336353345E+036          0.0000000000000000E+000         -1.0920609267562227E+025         -2.3919396336244140E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              90          2.7796162114882854E+003          2.8986135602936274E+003          1.2024834327313113E+003          6.0044195259159538E+000          1.4983863462145012E+001          5.5279612678273270E+002          3.6458629102161268E+002         -5.4347972524675603E-001         -1.0000000000000000E+000          1.9823949791538249E+000          7.9439666218134286E-001         -3.9200767353955790E+001         -8.7943078088243940E+000         -3.9226343616060014E+001         -9.8999999999999986E+001         -4.0443439964835257E+001         -8.7943078088243940E+000         -9.8999999999999986E+001          1.0000000000000000E+000          3.6979768899711683E-031          1.9800138720756755E+053         -1.4539865372536515E+036          0.0000000000000000E+000         -1.0920590097692952E+025         -1.4539865372427310E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
