# Initial mass = 4.000, Z =  0.0002, Y =  0.250, M_mix = 0.00E+00
# Final mass = 0.880, Mass expelled =   3.1199
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
    s32     32  -1.2526107E-07  1.5274205E-05  1.5399466E-05  4.8957641E-06  4.9362297E-06 -3.5748738E-03
    s33     33   2.0376802E-09  1.2917680E-07  1.2713912E-07  4.1404387E-08  4.0753871E-08  6.8774666E-03
    s34     34   3.0969602E-08  7.7037686E-07  7.3940726E-07  2.4692500E-07  2.3701368E-07  1.7791620E-02
    s35     35   3.9736558E-23  3.9736558E-23  0.0000000E+00  1.2736558E-23  0.0000000E+00  0.0000000E+00
    s36     36   4.6361563E-09  8.2860270E-09  3.6498706E-09  2.6558784E-09  1.1699497E-09  3.5604095E-01
   cl35     35  -1.9544188E-10  1.5777488E-07  1.5797032E-07  5.0570787E-08  5.0636675E-08 -5.6548457E-04
   cl36     36   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cl37     37   1.0710053E-08  6.4083061E-08  5.3373007E-08  2.0540220E-08  1.7108476E-08  7.9393737E-02
   ar36     36  -4.0269242E-08  2.9013702E-06  2.9416394E-06  9.2996157E-07  9.4292932E-07 -6.0141464E-03
   ar37     37   7.3880626E-24  7.3880626E-24  0.0000000E+00  2.3680585E-24  0.0000000E+00  0.0000000E+00
   ar38     38   1.5857211E-08  5.8042446E-07  5.6456724E-07  1.8604052E-07  1.8096949E-07  1.2002178E-02
   ar39     39   4.6519798E-11  4.6519798E-11  0.0000000E+00  1.4910757E-11  0.0000000E+00  0.0000000E+00
   ar40     40   5.1895199E-09  6.1400054E-09  9.5048536E-10  1.9680251E-09  3.0467381E-10  8.1019545E-01
    k39     39   3.5684451E-09  1.5671839E-07  1.5314994E-07  5.0232156E-08  4.9091526E-08  9.9752704E-03
    k40     40  -2.4792071E-11  0.0000000E+00  2.4792071E-11  0.0000000E+00  7.9469868E-12  0.0000000E+00
    k41     41   8.7335561E-10  1.2492329E-08  1.1618973E-08  4.0041033E-09  3.7244097E-09  3.1447783E-02
   ca40     40  -2.9855073E-08  2.6217226E-06  2.6515777E-06  8.4032752E-07  8.4995133E-07 -4.9454533E-03
   ca41     41   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca42     42   1.1927686E-09  1.9775296E-08  1.8582528E-08  6.3384760E-09  5.9565455E-09  2.6990335E-02
   ca43     43   3.5636427E-10  4.3259507E-09  3.9695864E-09  1.3865752E-09  1.2724332E-09  3.7308417E-02
   ca44     44   8.6861718E-10  6.3633870E-08  6.2765253E-08  2.0396243E-08  2.0119119E-08  5.9412159E-03
   ca45     45   4.7692855E-21  4.7692855E-21  0.0000000E+00  1.5286750E-21  0.0000000E+00  0.0000000E+00
   ca46     46   1.2853779E-09  1.4112044E-09  1.2582650E-10  4.5232623E-10  4.0333122E-11  1.0497899E+00
   ca47     47   4.3743230E-35  4.3743230E-35  0.0000000E+00  1.4020796E-35  0.0000000E+00  0.0000000E+00
   ca48     48   3.1914471E-11  6.1700365E-09  6.1381220E-09  1.9776507E-09  1.9675475E-09  2.2243699E-03
   sc45     45   4.9009885E-10  2.2608757E-09  1.7707769E-09  7.2466710E-10  5.6761457E-10  1.0608502E-01
   sc46     46   6.1804204E-28  6.1804204E-28  0.0000000E+00  1.9809790E-28  0.0000000E+00  0.0000000E+00
   sc47     47   6.0759504E-32  6.0759504E-32  0.0000000E+00  1.9474938E-32  0.0000000E+00  0.0000000E+00
   sc48     48   5.8155937E-33  1.1226537E-30  1.1168381E-30  3.5983855E-31  3.5799746E-31  0.0000000E+00
   ti46     46   2.0001778E-12  1.0820504E-08  1.0818504E-08  3.4682417E-09  3.4678229E-09  5.2441806E-05
   ti47     47  -6.6018302E-12  9.9618562E-09  9.9684581E-09  3.1930236E-09  3.1953447E-09 -3.1556102E-04
   ti48     48  -1.5040698E-09  9.9369629E-08  1.0087370E-07  3.1850448E-08  3.2334611E-08 -6.5521477E-03
   ti49     49   4.6584159E-10  8.0227549E-09  7.5569133E-09  2.5714932E-09  2.4223346E-09  2.5951291E-02
   ti50     50   1.7217756E-09  9.1051904E-09  7.3834148E-09  2.9184408E-09  2.3667204E-09  9.1003947E-02
    v51     51  -1.6802026E-10  1.6103739E-08  1.6271759E-08  5.1616502E-09  5.2158393E-09 -4.5356299E-03
   cr52     52  -8.2770839E-09  6.5875105E-07  6.6702813E-07  2.1114616E-07  2.1381287E-07 -5.4506487E-03
   cr53     53  -8.6791374E-10  7.6221880E-08  7.7089794E-08  2.4431015E-08  2.4710786E-08 -4.9450607E-03
   cr54     54   4.7671236E-09  2.4318490E-08  1.9551367E-08  7.7946831E-09  6.2671028E-09  9.4731629E-02
   mn55     55  -6.4032974E-09  5.7612954E-07  5.8253283E-07  1.8466390E-07  1.8672829E-07 -4.8280931E-03
   fe54     54  -6.8820100E-08  3.7694476E-06  3.8382677E-06  1.2082021E-06  1.2303394E-06 -7.8853257E-03
   fe55     55  -2.5858479E-16 -2.5858479E-16  0.0000000E+00 -8.2882875E-17  0.0000000E+00  0.0000000E+00
   fe56     56  -8.8959496E-07  6.1593673E-05  6.2483268E-05  1.9742311E-05  2.0028732E-05 -6.2554749E-03
   fe57     57   4.9779828E-08  1.5185656E-06  1.4687857E-06  4.8673814E-07  4.7081269E-07  1.4447248E-02
   fe58     58   2.6487180E-07  4.6377033E-07  1.9889853E-07  1.4864997E-07  6.3756033E-08  3.6764356E-01
   fe59     59   6.6804829E-25  6.6804829E-25  0.0000000E+00  2.1412616E-25  0.0000000E+00  0.0000000E+00
   fe60     60   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   co59     59   1.0479962E-07  2.5819125E-07  1.5339162E-07  8.2756742E-08  4.9169000E-08  2.2611201E-01
   co60     60  -1.9036205E-14 -1.9036205E-14  0.0000000E+00 -6.1015790E-15  0.0000000E+00  0.0000000E+00
   ni58     58  -3.9550514E-08  2.1551803E-06  2.1947308E-06  6.9078908E-07  7.0351103E-07 -7.9254741E-03
   ni59     59   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ni60     60   2.3732906E-07  1.1118967E-06  8.7456766E-07  3.5639064E-07  2.8033872E-07  1.0424319E-01
   ni61     61   4.7406690E-08  8.6057966E-08  3.8651276E-08  2.7583726E-08  1.2389493E-08  3.4759939E-01
   ni62     62   1.0396371E-07  2.2921644E-07  1.2525273E-07  7.3469593E-08  4.0149203E-08  2.6243073E-01
   ni63     63   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ni64     64   1.0956350E-07  1.4249154E-07  3.2928039E-08  4.5672095E-08  1.0554935E-08  6.3619542E-01
   cu63     63   6.0822991E-08  8.8000640E-08  2.7177649E-08  2.8206401E-08  8.7116732E-09  5.1024616E-01
   cu64     64   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cu65     65   1.8303320E-08  3.0801175E-08  1.2497855E-08  9.8725454E-09  4.0061314E-09  3.9170396E-01
   zn64     64  -6.7960926E-10  4.5883997E-08  4.6563606E-08  1.4706966E-08  1.4925755E-08 -6.4132302E-03
   zn65     65  -1.2198064E-20 -1.2198064E-20  0.0000000E+00 -3.9097839E-21  0.0000000E+00  0.0000000E+00
   zn66     66   1.6844604E-08  4.4393325E-08  2.7548721E-08  1.4229169E-08  8.8306189E-09  2.0718840E-01
