# Initial mass = 4.000, Z =  0.0006, Y =  0.400, M_mix = 0.00E+00
# Final mass = 0.984, Mass expelled =   3.0160
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
    s32     32  -2.3980465E-07  3.8582446E-05  3.8822251E-05  1.2792589E-05  1.2872958E-05 -2.7199513E-03
    s33     33   3.1953959E-09  3.2372179E-07  3.2052640E-07  1.0733481E-07  1.0628242E-07  4.2791297E-03
    s34     34   6.4552978E-08  1.9286781E-06  1.8641251E-06  6.3948215E-07  6.1811988E-07  1.4755718E-02
    s35     35  -5.9208911E-22 -5.9208911E-22  0.0000000E+00 -1.9631603E-22  0.0000000E+00  0.0000000E+00
    s36     36   1.3462098E-08  2.2663951E-08  9.2018526E-09  7.5145730E-09  3.0512155E-09  3.9143145E-01
   cl35     35   3.5043968E-09  4.0175985E-07  3.9825545E-07  1.3320950E-07  1.3205637E-07  3.7758329E-03
   cl36     36   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cl37     37   3.0289129E-08  1.6484668E-07  1.3455755E-07  5.4657388E-08  4.4617551E-08  8.8143110E-02
   ar36     36  -1.0022086E-07  7.3158926E-06  7.4161135E-06  2.4256940E-06  2.4590877E-06 -5.9380103E-03
   ar37     37   2.6468485E-22  2.6468485E-22  0.0000000E+00  8.7760227E-23  0.0000000E+00  0.0000000E+00
   ar38     38   4.0677833E-08  1.4639681E-06  1.4232903E-06  4.8540056E-07  4.7194470E-07  1.2209212E-02
   ar39     39   1.8016361E-10  1.8016361E-10  0.0000000E+00  5.9735945E-11  0.0000000E+00  0.0000000E+00
   ar40     40   1.3250745E-08  1.5646977E-08  2.3962325E-09  5.1879900E-09  7.9455986E-10  8.1487256E-01
    k39     39   9.3057224E-09  3.9540654E-07  3.8610082E-07  1.3110296E-07  1.2802606E-07  1.0314134E-02
    k40     40  -6.2506639E-11  0.0000000E+00  6.2506639E-11  0.0000000E+00  2.0726396E-11  0.0000000E+00
    k41     41   3.8842991E-09  3.3176445E-08  2.9292146E-08  1.1000147E-08  9.7128980E-09  5.4049708E-02
   ca40     40  -8.0026439E-08  6.6049124E-06  6.6849389E-06  2.1899577E-06  2.2166396E-06 -5.2593630E-03
   ca41     41   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca42     42   3.2750407E-09  5.0122811E-08  4.6847770E-08  1.6618969E-08  1.5534116E-08  2.9317508E-02
   ca43     43   9.6409547E-10  1.0971708E-08  1.0007613E-08  3.6378343E-09  3.3183953E-09  3.9914776E-02
   ca44     44   2.5644482E-09  1.6080072E-07  1.5823628E-07  5.3315890E-08  5.2469112E-08  6.9529298E-03
   ca45     45  -7.8637678E-19 -7.8637678E-19  0.0000000E+00 -2.6073501E-19  0.0000000E+00  0.0000000E+00
   ca46     46   3.2832772E-09  3.6004952E-09  3.1721806E-10  1.1937982E-09  1.0518542E-10  1.0549754E+00
   ca47     47   2.5610707E-33  2.5610707E-33  0.0000000E+00  8.4916142E-34  0.0000000E+00  0.0000000E+00
   ca48     48   4.1428194E-11  1.5516093E-08  1.5474665E-08  5.1445932E-09  5.1311990E-09  1.1321730E-03
   sc45     45   1.3103785E-09  5.7746163E-09  4.4642379E-09  1.9146607E-09  1.4802837E-09  1.1174685E-01
   sc46     46   4.0242617E-26  4.0242617E-26  0.0000000E+00  1.3343043E-26  0.0000000E+00  0.0000000E+00
   sc47     47   2.9013014E-32  2.9013014E-32  0.0000000E+00  9.6196999E-33  0.0000000E+00  0.0000000E+00
   sc48     48   8.0544873E-33  2.8231759E-30  2.8151215E-30  9.3606628E-31  9.3345800E-31  0.0000000E+00
   ti46     46   1.9467095E-11  2.7293694E-08  2.7274227E-08  9.0496339E-09  9.0437826E-09  2.8087548E-04
   ti47     47  -3.6289194E-11  2.5094659E-08  2.5130948E-08  8.3205105E-09  8.3330987E-09 -6.5660186E-04
   ti48     48  -3.7426560E-09  2.5056875E-07  2.5431140E-07  8.3079826E-08  8.4326388E-08 -6.4679300E-03
   ti49     49   1.5427304E-09  2.0594360E-08  1.9051630E-08  6.8283690E-09  6.3172743E-09  3.3787224E-02
   ti50     50   4.7596522E-09  2.3373762E-08  1.8614109E-08  7.7499207E-09  6.1721988E-09  9.8857358E-02
    v51     51  -4.9047344E-10  4.0531969E-08  4.1022442E-08  1.3438982E-08  1.3602514E-08 -5.2528391E-03
   cr52     52  -2.0062430E-08  1.6615661E-06  1.6816285E-06  5.5091715E-07  5.5760631E-07 -5.2414155E-03
   cr53     53  -2.7335432E-09  1.9161584E-07  1.9434938E-07  6.3533108E-08  6.4443753E-08 -6.1807153E-03
   cr54     54   1.2125422E-08  6.1415847E-08  4.9290424E-08  2.0363345E-08  1.6344069E-08  9.5488936E-02
   mn55     55  -1.8347919E-09  1.4667685E-06  1.4686033E-06  4.8632910E-07  4.8696990E-07 -5.7186087E-04
   fe54     54  -1.8505762E-07  9.4916741E-06  9.6767317E-06  3.1471068E-06  3.2086793E-06 -8.4148571E-03
   fe55     55   1.7622631E-15  1.7622631E-15  0.0000000E+00  5.8430471E-16  0.0000000E+00  0.0000000E+00
   fe56     56  -2.1740416E-06  1.5534810E-04  1.5752214E-04  5.1507992E-05  5.2232310E-05 -6.0645957E-03
   fe57     57   1.4525699E-07  3.8481312E-06  3.7028742E-06  1.2759056E-06  1.2278254E-06  1.6681930E-02
   fe58     58   6.7744935E-07  1.1788854E-06  5.0143609E-07  3.9087715E-07  1.6626973E-07  3.7122706E-01
   fe59     59  -8.2095862E-25 -8.2095862E-25  0.0000000E+00 -2.7220114E-25  0.0000000E+00  0.0000000E+00
   fe60     60   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   co59     59   2.3969270E-07  6.2640316E-07  3.8671047E-07  2.0769336E-07  1.2822821E-07  2.0943902E-01
   co60     60   4.5732241E-11  4.5732241E-11  0.0000000E+00  1.5163211E-11  0.0000000E+00  0.0000000E+00
   ni58     58  -1.0023678E-07  5.4327857E-06  5.5330224E-06  1.8013216E-06  1.8346788E-06 -7.9688169E-03
   ni59     59   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ni60     60   4.4416879E-07  2.6489829E-06  2.2048141E-06  8.7831000E-07  7.3108788E-07  7.9678252E-02
   ni61     61   1.0833404E-07  2.0577593E-07  9.7441891E-08  6.8228097E-08  3.2310474E-08  3.2461995E-01
   ni62     62   3.8122610E-07  6.9699706E-07  3.1577096E-07  2.3109983E-07  1.0470558E-07  3.4382984E-01
   ni63     63   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ni64     64   2.3204632E-07  3.1505652E-07  8.3010207E-08  1.0446171E-07  2.7525115E-08  5.7922804E-01
   cu63     63   1.2064508E-07  1.8916194E-07  6.8516854E-08  6.2719479E-08  2.2719307E-08  4.4100738E-01
   cu64     64   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cu65     65   4.3751982E-08  7.5260559E-08  3.1508577E-08  2.4953767E-08  1.0447838E-08  3.7810969E-01
   zn64     64  -1.7808830E-09  1.1560846E-07  1.1738934E-07  3.8331716E-08  3.8924792E-08 -6.6680554E-03
   zn65     65  -2.9617946E-19 -2.9617946E-19  0.0000000E+00 -9.8202740E-20  0.0000000E+00  0.0000000E+00
   zn66     66   4.1840181E-08  1.1129255E-07  6.9452369E-08  3.6900715E-08  2.3029507E-08  2.0475012E-01
   zn67     67   9.2651344E-09  1.9625885E-08  1.0360750E-08  6.5072565E-09  3.4354914E-09  2.7740905E-01
   zn68     68   5.9006187E-08  1.0709528E-07  4.8089095E-08  3.5509046E-08  1.5945725E-08  3.4769475E-01
   zn69     69   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   zn70     70   2.8378144E-10  1.9206965E-09  1.6369150E-09  6.3683570E-10  5.4277993E-10  6.9403611E-02
   ga69     69   8.3969702E-09  1.2805733E-08  4.4087627E-09  4.2459329E-09  1.4618888E-09  4.6305877E-01
   ga70     70   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ga71     71   7.4618285E-09  1.0472636E-08  3.0108080E-09  3.4723595E-09  9.9834507E-10  5.4134405E-01
   ge70     70   1.2807122E-08  1.7710942E-08  4.9038205E-09  5.8723284E-09  1.6260437E-09  5.5767816E-01
   ge71     71   2.1162133E-28  2.1162133E-28  0.0000000E+00  7.0166226E-29  0.0000000E+00  0.0000000E+00
   ge72     72   1.2784049E-08  1.9449562E-08  6.6655126E-09  6.4487939E-09  2.2101980E-09  4.6504730E-01
   ge73     73   3.7694567E-09  5.6662977E-09  1.8968407E-09  1.8787460E-09  6.2896788E-10  4.7523963E-01
   ge74     74   1.6354118E-08  2.5379075E-08  9.0249568E-09  8.4148128E-09  2.9925593E-09  4.4900173E-01
