# Initial mass = 2.250, Z =  0.0010, Y =  0.250, M_mix = 1.00E-03
# Final mass = 0.685, Mass expelled =   1.5650
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
 ta  73   0.507633  0.627633  1.757842  3.98766E-10  6.13093E-10  6.24068E-10
  w  74   1.410408  0.760408  1.890617  3.23877E-09  5.00308E-09  5.06868E-09
 re  75   0.485688  0.225688  1.355897  3.90135E-10  5.83465E-10  6.10562E-10
 os  76   1.395273  0.045273  1.175482  3.23656E-09  4.72472E-09  5.06522E-09
 ir  77   0.657224 -0.662776  0.467433  5.97787E-10  6.14377E-10  9.35537E-10
 pt  78   1.370504 -0.249496  0.880713  3.13505E-09  4.30268E-09  4.90635E-09
 au  79   0.581001 -0.218999  0.911210  5.13957E-10  7.04956E-10  8.04342E-10
 hg  80   1.864091  0.694091  1.824300  1.00446E-08  1.54992E-08  1.57198E-08
 tl  81   1.640108  0.870108  2.000317  6.11060E-09  9.46685E-09  9.56310E-09
 pb  82   3.659173  1.619173  2.749382  6.47284E-07  1.01118E-06  1.01300E-06
 bi  83   1.840492  1.190492  2.320701  9.91126E-09  1.54365E-08  1.55111E-08
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.5292   1.2066   1.8281   0.6215   0.9213
