star-ID,HIP,alt. ID,class,ev. s.,orbit,Porb,e_Porb,ecc,e_ecc,K1,e_K1,f(m),e_f(m),inc,e_inc,alpha,e_alpha,a,e_a,ref (orbit),Teff,e_Teff,logg,e_logg,[Fe/H],e_[Fe/H],[C/Fe],lg (C/O),[ls/Fe],[hs/Fe],[Ba/Fe],[Ba/Eu],ref (atm.),L,e_L,M,e_M,Mc,e_Mc,"ref(L,M)",plx,e_plx,ref_plx,G
default = HD,,,,,,d,d,,,km/s,km/s,Msun,Msun,deg,deg,mas,mas,AU,AU,,K,K,cgs,cgs,,,,,,,,,,Lsun,Lsun,Msun,Msun,Msun,Msun,,mas,mas,,mag
BD -18 255,,,dBa,d,SB,1585,6,0.075,0.011,7.25,0.07,0.062,0.0017,,,,,,,E19,6800,400,4.3,0.3,-0.18,0.05,,,1.44,1.62,,,LB91,4.2,1.2,1.3,0.15,,,E19,5.318,0.104,,10.111
BD +18 5215,,,dBa,d,SB,1516,11,0.13,0.06,3.09,0.16,0.0045,0.0007,,,,,,,E19,6450,50,4.4,0.4,-0.5,0.09,,,,,,,E19,1.86,0.11,1.1,0.1,,,E19,6.51,0.22,,9.597
BD +38 118,,,Ba 5,g,ST out,3877,112,0.21,0.06,1.65,0.11,0.0017,0.0004,,,,,,,U98a,,,,,,,,,,,,,,,,,,,,,0.874,0.048,,8.439
BD +38 118,,,Ba 5,g,ST in,299.4,0.2,0.144,0.013,7.76,0.08,0.0141,0.0004,,,,,,,U98a,,,,,,,,,,,,,,,,,,,,,0.874,0.048,,8.439
CD -42 2048,,,Ba 4,g,SB,3260,28,0.08,0.016,5.8,0.1,0.065,0.004,,,,,,,U98a,4400,100,1.6,,-0.23,0.16,,,0.96,1.34,,,Ca16,234,67,1.9,0.6,,,J19,1.169,0.012,,8.933
CpD -64 4333,,,Ba 4,g,SB,386,0.5,0.031,0.012,12,0.2,0.0684,0.0034,,,,,,,U98a,4900,100,2.6,,-0.1,0.18,,,1.12,1.96,,,Ca16,37,3,1.4,0.1,,,J19,2.04,0.051,,9.339
IC 4756 139,,BD +05 3888,Ba mild,g,SB,3834,36,0.216,0.034,2.59,0.1,0.00645,0.00092,,,,,,,Me07,5220,,2.7,,-0.06,,,,0.18,0.27,,,Sw17,,,2.63,0.05,,,Sw17,2.106,0.034,,9.304
Lu 163,,,Ba 5,g,SB,965,16,0.03,0.07,3.1,0.2,0.0029,0.0006,,,,,,,U98a,,,,,,,,,,,,,,,,,,,,,,,,
NGC 2335 4,34316,BD -09 1851,Ba mild,g,SB,300.76,0.16,0,,7.87,0.15,0.01525,0.00088,,,,,,,Me07,4750,,1.2,,-0.03,,,,0.46,0.16,,,Sw17,,,4.4,0.05,,,Sw17,0.544,0.033,,9.051
NGC 2420 173,,,Ba strong,g,SB,1479.6,9.1,0.421,0.048,4.1,0.15,0.0079,0.0015,,,,,,,Me07,5150,100,2.2,,-0.26,,,,0.86,0.61,,,Sw17,,,2.1,0.05,,,Sw17,0.465,0.021,,11.534
NGC 2420 250,,,Ba 5,g,SB,1403.6,3.5,0.08,0.03,6.9,0.21,0.0473,0.0047,,,,,,,Me07,,,,,-0.26,,,,,,,,Sw17,,,2.1,0.05,,,Sw17,0.508,0.031,,11.112
NGC 2477 1044,,,Ba mild,g,SB,3108,52,0.074,0.06,3.22,0.2,0.0107,0.0023,,,,,,,Me07,4780,,2.6,,0.01,,,,0.42,0.26,,,Sw17,,,2.33,0.05,,,Sw17,,,,
NGC 5822 2,,CD -53 5827,Ba mild,g,SB,1002.2,3.5,0.132,0.029,4.49,0.11,0.00916,0.00082,,,,,,,Me07,5100,100,2.4,0.2,-0.15,0.09,-0.07,-0.23,0.77,0.75,,,KS13,,,2.49,0.11,,,Sw17,1.356,0.033,,9.22
