                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20260410"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                          mix_relr_type_1                           mix_relr_top_1                          mix_relr_type_2                           mix_relr_top_2                          mix_relr_type_3                           mix_relr_top_3                          mix_relr_type_4                           mix_relr_top_4                          mix_relr_type_5                           mix_relr_top_5                          mix_relr_type_6                           mix_relr_top_6                          mix_relr_type_7                           mix_relr_top_7                          mix_relr_type_8                           mix_relr_top_8                          mix_relr_type_9                           mix_relr_top_9                         mix_relr_type_10                          mix_relr_top_10                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                           he_core_radius                              he_core_lgT                            he_core_lgRho                             co_core_mass                           co_core_radius                              co_core_lgT                            co_core_lgRho                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                            envelope_mass                   envelope_fraction_left                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                        center_degeneracy                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               center_n14                              surface_c12                              surface_o16                              surface_n14                            total_mass_h1                           total_mass_he4                                rel_E_err                                tot_E_err                              num_retries                                num_iters                    num_solver_iterations                             elapsed_time                                    I_eff                                      rg2                                   t_conv                                   R_conv                                   M_conv                            alpha_mlt_max                        alpha_mlt_surface                                 min_beta                               varcontrol                             last_saved_R                                 min_kapR                                 max_kapR                                    min_T                                    max_T                     quasi_adiabatic_Mdot 
                                       1                                     1888                  1.5771220325935943E+001                  1.1978652989291232E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  8.0493186104214645E-002                  9.9995799944971975E-001                  2.2131633265404435E-001                  3.7596842158367588E-002                  7.8131033211811230E-008                  9.9997069075127298E-001                  2.2121880080858328E-001                  3.7596842158367588E-002                  7.8131033211811230E-008                                        1                  4.0246593052107323E-002                                        0                  2.2121880080858328E-001                                        2                  2.2131633265404435E-001                                        1                  9.9995912116657271E-001                                        2                  9.9997149730917556E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  6.0815631367555757E-005                                        0                  7.1275180206600321E-003                                        2                  7.9722290954518486E-003                                        1                  9.9374737397513124E-001                                        2                  9.9528111040747747E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.2222956131585350E+000                  3.8778130643187803E+000                  3.8680555405497652E-001                  3.9646598814117584E+000                 -4.6037802211920936E-001                  3.2222054237019968E+000                  3.8778130643187803E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0681521510030843E+032                  1.5170003017360944E+032                  8.7281292134860883E+032                  8.7292626823656861E+032                  8.7521887170760919E+032                  8.7552867037856142E+032                  4.3919471832585960E-001                  2.7157458715345657E-002                  7.6758017992960843E+000                  1.8681969268868690E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5608052816741405E+000                  1.0000000000000000E+000                  3.5727438542075065E+000                  3.2329522725846433E+000                  1.9936415887418060E+000                  7.5181444548350240E-001                 -1.6304684661554791E-006                  2.2208258600400974E+001                  5.8335047863611358E+000                  8.0489389811222622E+000                  1.1729740735054428E+001                  1.3383465456009680E+000                  5.0000000000002831E-001                  4.0454607671223233E+000                  0.0000000000000000E+000                  9.8491994825524831E-001                  1.4691758448554630E-003                  3.0738141415656876E-004                  8.5275775233657671E-003                  1.9554729663104247E-003                  6.0150132837183783E-003                  1.3410913141421810E-003                  1.0971111762714905E+000                  8.7419217324188736E-001                 -4.1429151861189853E-011                 -6.7728579837571218E+038                                        1                                        5                                        5                  4.0764790099999998E-001                  2.0197317822460290E+058                  1.0803548187851426E-001                                        0                                        0                                        0                  1.9310000000000000E+000                  1.9310000000000000E+000                  8.3493182874271454E-001                  1.0000000000000000E-004                  9.7117711450756502E+001                  9.5054759956356323E-005                  9.3525491096697985E-002                  3.7389000437386530E+003                  1.1192806121965657E+008                  1.4756388880377938E-001 
                                      10                                     1797                  4.5839203093371871E+001                 -1.9644273151141869E-001                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  1.2824680360063473E-001                  9.9995799944971986E-001                  2.2131968071805003E-001                  6.2721990079484258E-002                  7.8131035918684584E-008                  9.9997069075127309E-001                  2.2122841361872328E-001                  6.2721990079484258E-002                  7.8131035918684584E-008                                        1                  6.4123401800317364E-002                                        0                  2.2122841361872328E-001                                        2                  2.2131968071805003E-001                                        1                  9.9995913218581078E-001                                        2                  9.9997152704267378E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  7.4885111755748019E-005                                        0                  7.1901837117038514E-003                                        2                  7.9796203927836179E-003                                        1                  9.9374802706082177E-001                                        2                  9.9528454405531086E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.1901038597267570E+000                  5.3963404469199974E+000                  2.2464951313394779E+000                  5.3993387833085338E+000                 -4.4450338235055947E-001                  3.1900031138127747E+000                  5.3963404469199974E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7545973642489086E+032                  2.2229897762409926E+032                  8.7281779575449475E+032                  8.7293467124136786E+032                  8.7522682531626156E+032                  8.7553464540474314E+032                  4.3919471832586499E-001                  2.7254853670645455E-002                  7.6730157759002262E+000                  1.8695688049528461E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5608052816741349E+000                  1.0000000000000000E+000                  3.5727485193620385E+000                  3.2329208179327580E+000                  1.9936165311067979E+000                  7.5186456075351860E-001                 -1.4986549693526861E-006                  2.2185467766569250E+001                  5.8133866837326940E+000                  8.0942277834113554E+000                  1.0248783145398185E+001                  1.3385052091006280E+000                  5.0000000000000011E-001                  4.0469108072061735E+000                  0.0000000000000000E+000                  9.8438864691460293E-001                  1.9996121942737976E-003                  3.0754674543971854E-004                  8.5278871882666484E-003                  1.9554729663104247E-003                  6.0150132837183783E-003                  1.3410913141421810E-003                  1.0971106804957049E+000                  8.7406639068762737E-001                  1.7052992620712374E-011                  2.7628471199106745E+038                                        4                                        5                                        5                  5.5818633510000000E+000                  2.0191086257043941E+058                  1.0802998825018313E-001                  4.0188667361863419E+007                  9.7129210505348951E+001                  1.5572790323338350E+000                  1.9310000000000000E+000                  1.9310000000000000E+000                  8.3494043760236092E-001                  1.0000000000000000E-004                  9.7117711450756502E+001                  9.5060677355126728E-005                  9.3523822541542109E-002                  3.7389402069029366E+003                  1.2423037134779733E+008                  1.4755257367072919E-001 
                                      20                                     1790                  4.7802135561088363E+001                 -1.4203660863351117E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  2.0018838250021470E-001                  9.9995799944971986E-001                  2.2132006014698463E-001                  9.9566975473640462E-002                  7.8131035863173433E-008                  9.9997069075127309E-001                  2.2122973952576383E-001                  9.9566975473640462E-002                  7.8131035863173433E-008                                        1                  1.0009419125010735E-001                                        0                  2.2122973952576383E-001                                        2                  2.2132006014698463E-001                                        1                  9.9995913319844443E-001                                        2                  9.9997152976092418E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  9.6038341279086050E-005                                        0                  7.2035197458599166E-003                                        2                  7.9846425408395434E-003                                        1                  9.9374806252345682E-001                                        2                  9.9528483718489913E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  3.0706124021780763E+000                  7.4623733445912217E+000                  4.8826173348152455E+000                  7.4635323701602303E+000                 -4.9416873713896414E-001                  3.0704940810419283E+000                  7.4623733445912217E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9064528232935591E+032                  3.3639574104382508E+032                  8.7283031388854074E+032                  8.7294526160760817E+032                  8.7521580000293721E+032                  8.7552788768022733E+032                  4.3919471832586499E-001                  2.7702778574716716E-002                  7.6639597577129104E+000                  1.8558789521365628E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5608052816741349E+000                  1.0000000000000000E+000                  3.5727490097389638E+000                  3.2329158282540948E+000                  1.9936130555136173E+000                  7.5187151193987944E-001                  3.6156650665321943E-007                  2.2114503024249476E+001                  5.7552447469177599E+000                  8.1674322263704635E+000                  7.9241802707637463E+000                  1.3389535716115546E+000                  5.0000000000000000E-001                  4.0510121955450789E+000                  0.0000000000000000E+000                  9.8288810003821336E-001                  3.5005833461639814E-003                  3.0985705182482316E-004                  8.5219717060503204E-003                  1.9554729663104247E-003                  6.0150132837183783E-003                  1.3410913141421810E-003                  1.0971106515822144E+000                  8.7363238890037564E-001                 -1.5656238665512861E-008                 -2.4574278331322294E+041                                        5                                       10                                       10                  1.0061028498000001E+001                  2.0190661071240108E+058                  1.0803004304277668E-001                  4.0188574490234546E+007                  9.7128135795443683E+001                  1.5572781973418794E+000                  1.9310000000000000E+000                  1.9310000000000000E+000                  8.3500201569758814E-001                  1.0000000000000000E-004                  9.7117711450756502E+001                  9.5103181457289530E-005                  9.3523904788942902E-002                  3.7389444286721382E+003                  1.4703889366169661E+008                  1.4755078411241468E-001 
                                      30                                     1790                  4.7858991101180202E+001                 -2.8872995348775956E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  3.2822024175571474E-001                  9.9995799944971986E-001                  2.2132027580232450E-001                  1.6293972614586988E-001                  7.8131035918684676E-008                  9.9997069075127309E-001                  2.2122898400333332E-001                  1.6293972614586988E-001                  7.8131035918684676E-008                                        1                  1.6411012087785737E-001                                        0                  2.2122898400333332E-001                                        2                  2.2132027580232450E-001                                        1                  9.9995913311609474E-001                                        2                  9.9997152959122826E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  1.4832163359489880E-004                                        0                  7.2172740734662436E-003                                        2                  8.0061684039478224E-003                                        1                  9.9374804671796990E-001                                        2                  9.9528480904962779E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  2.5625614965574739E+000                  9.1668879456522845E+000                  7.3083386917560142E+000                  9.1728617709723608E+000                 -7.5225743498825726E-001                  2.5623510845201181E+000                  9.1668879456522845E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1369573127339147E+032                  4.5533535430730383E+032                  8.7288672441909859E+032                  8.7300595796743157E+032                  8.7513635516725027E+032                  8.7547799552580153E+032                  4.3919471832586499E-001                  2.9799129136325955E-002                  7.6249593797761213E+000                  1.7883445148198567E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5608052816741349E+000                  1.0000000000000000E+000                  3.5727492610279166E+000                  3.2329173813937855E+000                  1.9936133295055565E+000                  7.5187096395600117E-001                  1.0311033571398554E-005                  2.1861346844884068E+001                  5.5584379053346646E+000                  8.2537521449747668E+000                  4.7725582172842449E+000                  1.3400230224580627E+000                  5.0000000000000000E-001                  4.0608174771457479E+000                  0.0000000000000000E+000                  9.7931418706438245E-001                  7.0795693825387047E-003                  2.7476075073611746E-004                  8.5159644091338180E-003                  1.9554729663104247E-003                  6.0150132837183783E-003                  1.3410913141421810E-003                  1.0971106510488478E+000                  8.7202743632244684E-001                  1.8748379070916648E-010                  2.5906316138552206E+039                                        7                                        5                                        5                  1.5235472205000001E+001                  2.0190752259013682E+058                  1.0803039440289491E-001                  4.0188051403518669E+007                  9.7126424200334171E+001                  1.5572777553104022E+000                  1.9310000000000000E+000                  1.9310000000000000E+000                  8.3530797088756570E-001                  1.0000000000000000E-004                  9.7117711450756502E+001                  9.5314848852309463E-005                  9.3523453498691914E-002                  3.7389465920789512E+003                  1.7937096514975566E+008                  1.4755133014495997E-001 
                                      40                                     1770                  4.7869725755684655E+001                 -3.0060136613362807E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  3.8291636150560104E-001                  9.9995799944971986E-001                  2.2132053306773949E-001                  1.9094873477388147E-001                  7.8131035918684676E-008                  9.9997069075127309E-001                  2.2122763596552253E-001                  1.9094873477388147E-001                  7.8131035918684676E-008                                        1                  1.9145818075280049E-001                                        0                  2.2122763596552253E-001                                        2                  2.2132053306773949E-001                                        1                  9.9995913307267648E-001                                        2                  9.9997152951177493E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  1.9645667345114564E-004                                        0                  7.2332324153121510E-003                                        2                  8.0351720250226820E-003                                        1                  9.9374803293219871E-001                                        2                  9.9528479069614306E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  1.9001694742509687E+000                  8.9897871137355807E+000                  7.3972517865019354E+000                  9.0007458251185533E+000                 -1.0917122676604365E+000                  1.8997267595863558E+000                  8.9897871137355807E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1835648193480321E+032                  4.6237122479103190E+032                  8.7296189781457971E+032                  8.7309114918890178E+032                  8.7441654539038374E+032                  8.7541077522850655E+032                  4.3919471832586499E-001                  3.2673419925214178E-002                  7.5751332923303316E+000                  1.7035276106640691E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5608052816741349E+000                  1.0000000000000000E+000                  3.5727495449944029E+000                  3.2329189070750242E+000                  1.9936135244132038E+000                  7.5187057414070657E-001                  1.8995700478714885E-005                  2.1595508065094666E+001                  5.3560623710633548E+000                  8.2657756485730083E+000                  3.3196698067833852E+000                  1.3409433336224881E+000                  5.0000000000000000E-001                  4.0692808434605441E+000                  0.0000000000000000E+000                  9.7624945210816660E-001                  1.0135203552520067E-002                  2.5193365367619258E-004                  8.4791150593942488E-003                  1.9554729663104247E-003                  6.0150132837183783E-003                  1.3410913141421810E-003                  1.0971106510305018E+000                  8.7046986007615079E-001                  4.6440703542344816E-012                  5.5632864690771411E+037                                        7                                        5                                        5                  1.9763320415999999E+001                  2.0190902419425871E+058                  1.0803110420179730E-001                  4.0187262979841769E+007                  9.7123743521402332E+001                  1.5572772540095539E+000                  1.9310000000000000E+000                  1.9310000000000000E+000                  8.3572036107630721E-001                  1.0000000000000000E-004                  9.7117711450756502E+001                  9.5601398915929337E-005                  9.3522976422648216E-002                  3.7389490368162674E+003                  1.8440625520314822E+008                  1.4755186559331460E-001 
                                      50                                     1752                  4.7878796289556519E+001                 -3.0581675287997165E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  3.9479546161838425E-001                  9.9995799944971986E-001                  2.2132078527619181E-001                  1.9735616467311284E-001                  7.8131035918684676E-008                  9.9997069075127309E-001                  2.2122727305620940E-001                  1.9735616467311284E-001                  7.8131035918684676E-008                                        1                  1.9739773080919210E-001                                        0                  2.2122727305620940E-001                                        2                  2.2132078527619181E-001                                        1                  9.9995913304199713E-001                                        2                  9.9997152954692547E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  2.1701506832945313E-004                                        0                  7.2444246247740365E-003                                        2                  8.0512217920217510E-003                                        1                  9.9374801024042203E-001                                        2                  9.9528477828116890E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  1.5666327632117851E+000                  8.6845802085214743E+000                  7.1508857462507462E+000                  8.6971062232975598E+000                 -1.2642016129269433E+000                  1.5659911538378890E+000                  8.6845802085214743E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0547093560624078E+032                  4.5031260935468588E+032                  8.7300322681932390E+032                  8.7313223711070001E+032                  8.7433857267446250E+032                  8.7537129487006170E+032                  4.3919471832586499E-001                  3.4181347557214942E-002                  7.5506928326153062E+000                  1.6618311823792051E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5608052816741349E+000                  1.0000000000000000E+000                  3.5727501266571795E+000                  3.2329218366933747E+000                  1.9936138258968261E+000                  7.5186997117346221E-001                  3.4638835330180240E-005                  2.1477904178395793E+001                  5.2670361751039341E+000                  8.2606689762416874E+000                  2.8763862312373938E+000                  1.3413175368509784E+000                  4.9999999999999994E-001                  4.0727288546241907E+000                  0.0000000000000000E+000                  9.7500597582191950E-001                  1.1371078664550198E-002                  2.4678127061222621E-004                  8.4564764835191562E-003                  1.9554729663104247E-003                  6.0150132837183783E-003                  1.3410913141421810E-003                  1.0971106510257398E+000                  8.6983884677847989E-001                  2.8452705355362814E-011                  3.1954303519373573E+038                                        7                                        5                                        5                  2.3986902649000001E+001                  2.0191147315487820E+058                  1.0803227170508725E-001                  4.0186786133539781E+007                  9.7122336274121949E+001                  1.5572767440844442E+000                  1.9310000000000000E+000                  1.9310000000000000E+000                  8.3593592137484529E-001                  1.0000000000000000E-004                  9.7117711450756502E+001                  9.5751754770294982E-005                  9.3522027498502719E-002                  3.7389540444989675E+003                  1.8225060397739980E+008                  1.4755289239039057E-001 
                                      60                                     1735                  4.7891012983363979E+001                 -2.7702638309048147E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  4.0187937653315348E-001                  9.9995799944971986E-001                  2.2132109465600158E-001                  2.0059415217994864E-001                  7.8131035918684676E-008                  9.9997069075127309E-001                  2.2122739601979358E-001                  2.0059415217994864E-001                  7.8131035918684676E-008                                        1                  2.0093968826657674E-001                                        0                  2.2122739601979358E-001                                        2                  2.2132109465600158E-001                                        1                  9.9995913319731733E-001                                        2                  9.9997153047959264E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  2.3260312019675626E-004                                        0                  7.2564843019377176E-003                                        2                  8.0645017567277412E-003                                        1                  9.9374792121145317E-001                                        2                  9.9528480597896651E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  1.3121277114937655E+000                  8.4075512513034525E+000                  6.9019047803748705E+000                  8.4209002097746612E+000                 -1.3959857645720173E+000                  1.3112763844508788E+000                  8.4075512513034525E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9131196158036540E+032                  4.3745389736729239E+032                  8.7303131945367146E+032                  8.7316475435369604E+032                  8.7428717744894649E+032                  8.7534174243522587E+032                  4.3919471832586499E-001                  3.5357212470845736E-002                  7.5323408307632898E+000                  1.6305732238073383E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5608052816741349E+000                  1.0000000000000000E+000                  3.5727532202959020E+000                  3.2329361505348251E+000                  1.9936147955401053E+000                  7.5186803188690354E-001                  1.0139871656318235E-004                  2.1393030220708990E+001                  5.2028852164445860E+000                  8.2544705209514539E+000                  2.6000668392699207E+000                  1.3415932152556347E+000                  5.0000000000000000E-001                  4.0752715383287699E+000                  0.0000000000000000E+000                  9.7409063737253943E-001                  1.2279581049217286E-002                  2.4471063038551845E-004                  8.4384234574951134E-003                  1.9554729663104247E-003                  6.0150132837183783E-003                  1.3410913141421810E-003                  1.0971106510224391E+000                  8.6940601856722644E-001                 -8.2881153760660563E-012                 -8.8816833913667494E+037                                        7                                        4                                        4                  2.7893093351000001E+001                  2.0191518729119143E+058                  1.0803386460293167E-001                  4.0186206250793010E+007                  9.7121466681327561E+001                  1.5572761521434653E+000                  1.9310000000000000E+000                  1.9310000000000000E+000                  8.3610454953375180E-001                  1.0000000000000000E-004                  9.7117711450756502E+001                  9.5869650503375544E-005                  9.3517209844052970E-002                  3.7389806785335204E+003                  1.7966791210171169E+008                  1.4755789872731306E-001 
