# Initial mass = 3.000, Z =  0.0300, Y =  0.300, M_mix = 1.00E-03
# Final mass = 0.691, Mass expelled =   2.3090
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  w  74   1.423366  0.773366  0.423119  3.10948E-09  4.46819E-09  7.17978E-09
 re  75   0.744188  0.484188  0.133941  6.59273E-10  4.02051E-10  1.52226E-09
 os  76   1.819585  0.469585  0.119338  8.01208E-09  4.42329E-09  1.84999E-08
 ir  77   1.679655  0.359655  0.009408  5.86582E-09  2.67523E-10  1.35442E-08
 pt  78   2.009325  0.389325  0.039078  1.27179E-08  4.41007E-09  2.93656E-08
 au  79   1.218936  0.418936  0.068689  2.08070E-09  6.95707E-10  4.80434E-09
 hg  80   1.885013  0.715013  0.364766  9.82208E-09  1.35589E-08  2.26792E-08
 tl  81   1.467438  0.697438  0.347191  3.82616E-09  4.85581E-09  8.83461E-09
 pb  82   2.677004  0.637004  0.286757  6.28456E-08  7.00008E-08  1.45110E-07
 bi  83   1.023887  0.373887  0.023640  1.40887E-09  1.67004E-10  3.25309E-09
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.5899   1.0041   0.6483  -0.3558  -0.3615
