q,R,e_init,age,a,e,spin1,type1,m1,m2,amloss
0.8,411.2244897959184,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24606913e+09
 1.24606913e+09 1.24606913e+09]","[1032.24216287 1032.24216287 1032.24216287 ...  581.51197022  581.51197022
  581.47454732]",[0.65       0.65       0.65       ... 0.09118344 0.09118344 0.09114949],"[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 4.91945370e-08
 4.91945370e-08 4.92341856e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99993871 1.99993871 1.99993871],[1.6        1.6        1.6        ... 1.60000171 1.60000171 1.60000171],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.55870708e-07
 -4.55870708e-07 -4.55872658e-07]"
0.8,420.40816326530614,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24606912e+09
 1.24606912e+09 1.24606912e+09]","[1055.29471738 1055.29471738 1055.29471738 ...  600.84634423  600.84634423
  600.82567023]",[0.65       0.65       0.65       ... 0.129307   0.129307   0.12928465],"[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 4.77693863e-08
 4.77693863e-08 4.77818474e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99993871 1.99993871 1.99993871],[1.6        1.6        1.6        ... 1.60000168 1.60000168 1.60000168],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.58414028e-07
 -4.58414028e-07 -4.58415101e-07]"
0.8,429.5918367346939,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24606910e+09
 1.24606910e+09 1.24606910e+09]","[1078.34727189 1078.34727189 1078.34727189 ...  622.61263936  622.61263936
  622.60363601]",[0.65      0.65      0.65      ... 0.1706768 0.1706768 0.1706663],"[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 4.77494248e-08
 4.77494248e-08 4.77496211e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99993871 1.99993871 1.99993871],[1.6        1.6        1.6        ... 1.60000164 1.60000164 1.60000164],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.60692018e-07
 -4.60692018e-07 -4.60692469e-07]"
0.8,438.7755102040817,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24595848e+09
 1.24595848e+09 1.24595848e+09]","[1101.39982639 1101.39982639 1101.39982639 ...  706.61119647  706.61119647
  706.46166032]",[0.65       0.65       0.65       ... 0.35062548 0.35062548 0.35048106],"[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 5.51984313e-08
 5.51984313e-08 5.53223291e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99994077 1.99994077 1.99994077],[1.6        1.6        1.6        ... 1.60000097 1.60000097 1.60000097],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.35034369e-07
 -4.35034369e-07 -4.35037932e-07]"
0.8,447.9591836734694,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24595846e+09
 1.24595846e+09 1.24595846e+09]","[1124.4523809  1124.4523809  1124.4523809  ...  744.30300032  744.30300032
  744.09379801]",[0.65       0.65       0.65       ... 0.3865943  0.3865943  0.38641282],"[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 5.53563754e-08
 5.53563754e-08 5.54485257e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99994077 1.99994077 1.99994077],[1.6        1.6        1.6        ... 1.60000095 1.60000095 1.60000095],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.36834430e-07
 -4.36834430e-07 -4.36839133e-07]"
0.8,457.14285714285717,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24595845e+09
 1.24595845e+09 1.24595846e+09]","[1147.5049354  1147.5049354  1147.5049354  ...  782.43288059  782.43288059
  782.14991935]",[0.65       0.65       0.65       ... 0.41739172 0.41739172 0.41716965],"[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 5.59353456e-08
 5.59353456e-08 5.60023308e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99994077 1.99994077 1.99994077],[1.6        1.6        1.6        ... 1.60000092 1.60000092 1.60000092],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.38599891e-07
 -4.38599891e-07 -4.38606092e-07]"
0.8,466.32653061224494,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24595846e+09
 1.24595846e+09 1.24595846e+09]","[1170.55748991 1170.55748991 1170.55748991 ...  820.25591379  820.25591379
  820.00998006]",[0.65       0.65       0.65       ... 0.44330747 0.44330747 0.44313148],"[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 5.63738388e-08
 5.63738388e-08 5.64282864e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99994077 1.99994077 1.99994077],[1.6       1.6       1.6       ... 1.6000009 1.6000009 1.6000009],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.40353911e-07
 -4.40353911e-07 -4.40359279e-07]"
0.8,475.51020408163265,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24595848e+09
 1.24595848e+09 1.24595848e+09]","[1193.61004442 1193.61004442 1193.61004442 ...  857.24308969  857.24308969
  857.23482012]",[0.65       0.65       0.65       ... 0.46499593 0.46499593 0.46499048],"[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 5.66897708e-08
 5.66897708e-08 5.66929422e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99994077 1.99994077 1.99994077],[1.6        1.6        1.6        ... 1.60000088 1.60000088 1.60000088],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.42119296e-07
 -4.42119296e-07 -4.42119480e-07]"
0.8,484.6938775510204,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24606906e+09
 1.24606906e+09 1.24606906e+09]","[1216.66259892 1216.66259892 1216.66259892 ...  805.6373876   805.6373876
  805.59506711]",[0.65       0.65       0.65       ... 0.39181111 0.39181111 0.39177665],"[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 5.71840221e-08
 5.71840221e-08 5.70625632e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99993872 1.99993872 1.99993872],[1.6        1.6        1.6        ... 1.60000155 1.60000155 1.60000155],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.72241079e-07
 -4.72241079e-07 -4.72242720e-07]"
0.8,493.8775510204082,0.65,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24606906e+09
 1.24606906e+09 1.24606906e+09]","[1239.71515343 1239.71515343 1239.71515343 ...  841.28697634  841.28697634
  841.21521604]",[0.65       0.65       0.65       ... 0.41707822 0.41707822 0.41702465],"[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 5.75817416e-08
 5.75817416e-08 5.73706983e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99993872 1.99993872 1.99993872],[1.6        1.6        1.6        ... 1.60000153 1.60000153 1.60000153],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.74314863e-07
 -4.74314863e-07 -4.74317626e-07]"
