q,R,e_init,age,a,e,spin1,type1,m1,m2,amloss
0.8,550,0.2816326530612245,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24762149e+09
 1.24762149e+09 1.24762149e+09]","[1380.59187541 1380.59187541 1380.59187541 ... 1177.06889886 1177.06889886
 1177.02225651]","[2.81632653e-01 2.81632653e-01 2.81632653e-01 ... 3.82838531e-05
 3.82838531e-05 3.82732204e-05]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 1.83062086e-08
 1.83062086e-08 1.83159621e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.95139036 1.95139036 1.95138539],[1.6        1.6        1.6        ... 1.61150785 1.61150785 1.61150907],"[ 0.          0.          0.         ... -0.00095163 -0.00095163
 -0.00095173]"
0.8,550,0.2997959183673469,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24762147e+09
 1.24762147e+09 1.24762148e+09]","[1380.59187541 1380.59187541 1380.59187541 ... 1163.50222199 1163.50222199
 1163.39984984]","[2.99795918e-01 2.99795918e-01 2.99795918e-01 ... 1.63481535e-05
 1.63481535e-05 1.63380626e-05]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 1.86872266e-08
 1.86872266e-08 1.86803262e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.95165852 1.95165852 1.95164764],[1.6        1.6        1.6        ... 1.61158089 1.61158089 1.61158359],"[ 0.          0.          0.         ... -0.00094595 -0.00094595
 -0.00094616]"
0.8,550,0.3179591836734694,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24762146e+09
 1.24762146e+09 1.24762146e+09]","[1380.59187541 1380.59187541 1380.59187541 ... 1148.34460062 1148.34460062
 1148.3297058 ]","[3.17959184e-01 3.17959184e-01 3.17959184e-01 ... 5.78427890e-06
 5.78427890e-06 5.78374617e-06]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 1.92836844e-08
 1.92836844e-08 1.92799885e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.95185576 1.95185576 1.95185416],[1.6       1.6       1.6       ... 1.6116822 1.6116822 1.6116826],"[ 0.          0.          0.         ... -0.00094166 -0.00094166
 -0.00094169]"
0.8,550,0.33612244897959187,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24762145e+09
 1.24762145e+09 1.24762145e+09]","[1380.59187541 1380.59187541 1380.59187541 ... 1131.9043693  1131.9043693
 1131.90183587]","[3.36122449e-01 3.36122449e-01 3.36122449e-01 ... 1.62827982e-06
 1.62827982e-06 1.62825338e-06]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 2.01161769e-08
 2.01161769e-08 2.01150476e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.95201668 1.95201668 1.9520164 ],[1.6        1.6        1.6        ... 1.61180419 1.61180419 1.61180426],"[ 0.          0.          0.         ... -0.00093806 -0.00093806
 -0.00093807]"
0.8,550,0.3542857142857143,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24762144e+09
 1.24762144e+09 1.24762144e+09]","[1380.59187541 1380.59187541 1380.59187541 ... 1114.05716179 1114.05716179
 1114.05133212]","[3.54285714e-01 3.54285714e-01 3.54285714e-01 ... 3.44840310e-07
 3.44840310e-07 3.44826731e-07]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 2.12512495e-08
 2.12512495e-08 2.12471506e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.95213409 1.95213409 1.95213343],[1.6        1.6        1.6        ... 1.61194981 1.61194981 1.61194998],"[ 0.          0.          0.         ... -0.0009353  -0.0009353
 -0.00093531]"
0.8,550,0.37244897959183676,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24762143e+09
 1.24762143e+09 1.24762143e+09]","[1380.59187541 1380.59187541 1380.59187541 ... 1095.52075521 1095.52075521
 1095.51639204]","[3.72448980e-01 3.72448980e-01 3.72448980e-01 ... 9.97271176e-08
 9.97271176e-08 9.97271108e-08]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 2.24250889e-08
 2.24250889e-08 2.24253626e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.95228755 1.95228755 1.95228703],[1.6        1.6        1.6        ... 1.61209947 1.61209947 1.61209961],"[ 0.          0.          0.         ... -0.0009318  -0.0009318
 -0.00093181]"
0.8,550,0.3906122448979592,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24753421e+09
 1.24753421e+09 1.24753421e+09]","[1380.59187541 1380.59187541 1380.59187541 ... 1102.10665352 1102.10665352
 1101.92559925]","[3.90612245e-01 3.90612245e-01 3.90612245e-01 ... 1.35464447e-05
 1.35464447e-05 1.35308021e-05]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 2.03264626e-08
 2.03264626e-08 2.03477121e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.98587499 1.98587499 1.98585632],[1.6        1.6        1.6        ... 1.60353762 1.60353762 1.6035424 ],"[ 0.          0.          0.         ... -0.00026989 -0.00026989
 -0.00027025]"
0.8,550,0.40877551020408165,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24753419e+09
 1.24753419e+09 1.24753419e+09]","[1380.59187541 1380.59187541 1380.59187541 ... 1083.32193806 1083.32193806
 1083.25341529]","[4.08775510e-01 4.08775510e-01 4.08775510e-01 ... 2.80726175e-06
 2.80726175e-06 2.80600567e-06]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 2.09936557e-08
 2.09936557e-08 2.09897871e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.98621168 1.98621168 1.98620459],[1.6        1.6        1.6        ... 1.60351214 1.60351214 1.60351398],"[ 0.          0.          0.         ... -0.00026311 -0.00026311
 -0.00026325]"
0.8,550,0.4269387755102041,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24753417e+09
 1.24753417e+09 1.24753417e+09]","[1380.59187541 1380.59187541 1380.59187541 ... 1062.60223078 1062.60223078
 1062.56159142]","[4.26938776e-01 4.26938776e-01 4.26938776e-01 ... 3.86811575e-07
 3.86811575e-07 3.86704039e-07]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 2.21911919e-08
 2.21911919e-08 2.21755757e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.9864365  1.9864365  1.98643215],[1.6        1.6        1.6        ... 1.60351814 1.60351814 1.6035193 ],"[ 0.          0.          0.         ... -0.0002585  -0.0002585
 -0.00025859]"
0.8,550,0.44510204081632654,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24744315e+09
 1.24744315e+09 1.24744315e+09]","[1380.59187541 1380.59187541 1380.59187541 ... 1051.26561659 1051.26561659
 1051.23035531]","[4.45102041e-01 4.45102041e-01 4.45102041e-01 ... 4.41797190e-05
 4.41797190e-05 4.41696883e-05]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 2.08893351e-08
 2.08893351e-08 2.08981681e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99619185 1.99619185 1.99618847],[1.6        1.6        1.6        ... 1.60098173 1.60098173 1.60098262],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -7.03860663e-05
 -7.03860663e-05 -7.04503313e-05]"
0.8,550,0.463265306122449,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24744313e+09
 1.24744313e+09 1.24744313e+09]","[1380.59187541 1380.59187541 1380.59187541 ... 1029.83952127 1029.83952127
 1029.7366725 ]","[4.63265306e-01 4.63265306e-01 4.63265306e-01 ... 7.90644823e-06
 7.90644823e-06 7.90105646e-06]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 2.18098814e-08
 2.18098814e-08 2.17997714e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99653855 1.99653855 1.99652863],[1.6        1.6        1.6        ... 1.60090806 1.60090806 1.60091075],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -6.36701788e-05
 -6.36701788e-05 -6.38580424e-05]"
0.8,550,0.48142857142857143,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24744312e+09
 1.24744312e+09 1.24744312e+09]","[1380.59187541 1380.59187541 1380.59187541 ... 1005.51261783 1005.51261783
 1005.47680363]","[4.81428571e-01 4.81428571e-01 4.81428571e-01 ... 8.48098848e-07
 8.48098848e-07 8.47881645e-07]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 2.32857121e-08
 2.32857121e-08 2.32873959e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99667115 1.99667115 1.99666915],[1.6        1.6        1.6        ... 1.60089118 1.60089118 1.60089174],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -6.10183019e-05
 -6.10183019e-05 -6.10560639e-05]"
0.8,550,0.4995918367346939,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24744310e+09
 1.24744310e+09 1.24744310e+09]","[1380.59187541 1380.59187541 1380.59187541 ...  980.71500818  980.71500818
  980.67899592]","[4.99591837e-01 4.99591837e-01 4.99591837e-01 ... 9.99879230e-08
 9.99879230e-08 9.99879062e-08]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 2.52419648e-08
 2.52419648e-08 2.52337002e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99675985 1.99675985 1.99675872],[1.6        1.6        1.6        ... 1.60088662 1.60088662 1.60088694],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -5.89729770e-05
 -5.89729770e-05 -5.89939998e-05]"
0.8,550,0.5177551020408163,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24744308e+09
 1.24744308e+09 1.24744308e+09]","[1380.59187541 1380.59187541 1380.59187541 ...  955.02446805  955.02446805
  955.00123482]","[5.17755102e-01 5.17755102e-01 5.17755102e-01 ... 9.99746556e-08
 9.99746556e-08 9.99746493e-08]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 2.74780274e-08
 2.74780274e-08 2.74608540e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.9968091  1.9968091  1.99680869],[1.6        1.6        1.6        ... 1.60089393 1.60089393 1.60089405],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -5.72739313e-05
 -5.72739313e-05 -5.72814526e-05]"
0.8,550,0.5359183673469388,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24734883e+09
 1.24734883e+09 1.24734883e+09]","[1380.59187541 1380.59187541 1380.59187541 ...  933.09850416  933.09850416
  933.08055219]","[5.35918367e-01 5.35918367e-01 5.35918367e-01 ... 1.11601642e-07
 1.11601642e-07 1.11585267e-07]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 2.69027762e-08
 2.69027762e-08 2.69007618e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99863112 1.99863112 1.99863096],[1.6        1.6        1.6        ... 1.60038025 1.60038025 1.6003803 ],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -2.35163828e-05
 -2.35163828e-05 -2.35192320e-05]"
0.8,550,0.5540816326530612,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24725185e+09
 1.24725185e+09 1.24725185e+09]","[1380.59187541 1380.59187541 1380.59187541 ...  907.26411166  907.26411166
  907.25686598]","[5.54081633e-01 5.54081633e-01 5.54081633e-01 ... 1.68889271e-06
 1.68889271e-06 1.68878816e-06]","[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 2.83858807e-08
 2.83858807e-08 2.83869280e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99923509 1.99923509 1.99923505],[1.6        1.6        1.6        ... 1.60020928 1.60020928 1.60020929],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.25623131e-05
 -1.25623131e-05 -1.25629176e-05]"
0.8,550,0.5722448979591837,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24632820e+09
 1.24632820e+09 1.24632820e+09]","[1380.59187541 1380.59187541 1380.59187541 ... 1071.4085348  1071.4085348
 1071.34581111]",[0.5722449  0.5722449  0.5722449  ... 0.39773768 0.39773768 0.39770028],"[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 3.46233386e-08
 3.46233386e-08 3.46279362e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99992779 1.99992779 1.99992779],[1.6        1.6        1.6        ... 1.60000412 1.60000412 1.60000412],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -6.78470312e-07
 -6.78470312e-07 -6.78497289e-07]"
0.8,550,0.5904081632653061,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24619633e+09
 1.24619633e+09 1.24619633e+09]","[1380.59187541 1380.59187541 1380.59187541 ... 1120.77546044 1120.77546044
 1120.74422969]",[0.59040816 0.59040816 0.59040816 ... 0.46877021 0.46877021 0.46875456],"[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 3.95512140e-08
 3.95512140e-08 3.95426997e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99993449 1.99993449 1.99993449],[1.6        1.6        1.6        ... 1.60000232 1.60000232 1.60000232],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -5.66087908e-07
 -5.66087908e-07 -5.66093237e-07]"
0.8,550,0.6085714285714285,"[1.09365005e+07 1.11810220e+07 1.14377696e+07 ... 1.24619629e+09
 1.24619629e+09 1.24619629e+09]","[1380.59187541 1380.59187541 1380.59187541 ... 1067.121089   1067.121089
 1067.07070002]",[0.60857143 0.60857143 0.60857143 ... 0.45706324 0.45706324 0.45703593],"[1.37401871e-04 1.37416591e-04 1.37430803e-04 ... 4.31190346e-08
 4.31190346e-08 4.30744932e-08]",[1 1 1 ... 6 6 6],[2.         2.         2.         ... 1.99993452 1.99993452 1.99993452],[1.6        1.6        1.6        ... 1.60000239 1.60000239 1.60000239],"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -5.61273441e-07
 -5.61273441e-07 -5.61280400e-07]"
