 #pulse    Mcore         M_csh         t_csh         Ddredge       lambda        DMh           THeshell       Tbce       THshell     interpulse       Mtot         MaxL          MaxLHe       maxR	   Mbol		Teff
   1   6.114501E-01  1.800859E-02  2.023332E+02  0.000000E+00  0.000000E+00  1.778257E-02  1.960194E+08  3.060984E+06  5.425457E+07  0.000000E+00  3.249974E+00  5.069772E+03  6.850007E+04  2.121128E+02 -4.542471E+00  3.379979E+03
   2   6.135944E-01  1.824194E-02  2.029852E+02  0.000000E+00  0.000000E+00  2.090454E-03  2.022465E+08  3.141172E+06  5.504289E+07  4.031970E+04  3.249973E+00  5.406292E+03  1.060631E+05  2.228206E+02 -4.612249E+00  3.353243E+03
   3   6.162149E-01  1.843053E-02  1.647720E+02  0.000000E+00  0.000000E+00  2.574623E-03  2.104979E+08  3.280831E+06  5.622468E+07  4.382603E+04  3.249970E+00  5.924016E+03  2.018578E+05  2.389224E+02 -4.711541E+00  3.316321E+03
   4   6.192871E-01  1.855373E-02  1.564364E+02  0.000000E+00  0.000000E+00  3.021896E-03  2.171656E+08  3.407032E+06  5.722914E+07  4.720526E+04  3.249966E+00  6.379062E+03  3.311790E+05  2.530033E+02 -4.791893E+00  3.285001E+03
   5   6.227174E-01  1.832104E-02  1.502618E+02  0.000000E+00  0.000000E+00  3.372073E-03  2.227548E+08  3.525412E+06  5.810429E+07  4.892194E+04  3.249960E+00  6.796935E+03  4.887348E+05  2.660072E+02 -4.860783E+00  3.257001E+03
   6   6.264793E-01  1.811731E-02  1.416049E+02  0.000000E+00  0.000000E+00  3.717124E-03  2.280122E+08  3.650053E+06  5.893845E+07  4.994899E+04  3.249951E+00  7.206282E+03  7.089282E+05  2.784099E+02 -4.924279E+00  3.232694E+03
   7   6.305187E-01  1.774752E-02  1.359315E+02  0.000000E+00  0.000000E+00  3.996789E-03  2.325838E+08  3.771120E+06  5.968874E+07  5.032347E+04  3.249938E+00  7.595640E+03  9.649027E+05  2.903524E+02 -4.981411E+00  3.209552E+03
   8   6.347949E-01  1.737928E-02  1.386342E+02  0.000000E+00  0.000000E+00  4.226565E-03  2.366628E+08  3.894221E+06  6.040781E+07  5.018857E+04  3.249920E+00  7.975557E+03  1.289494E+06  3.019941E+02 -5.034402E+00  3.187396E+03
   9   6.392475E-01  1.697671E-02  1.230489E+02  0.000000E+00  0.000000E+00  4.414439E-03  2.402273E+08  4.011002E+06  6.103310E+07  4.956605E+04  3.249894E+00  8.324073E+03  1.666262E+06  3.119730E+02 -5.080841E+00  3.170533E+03
  10   6.438196E-01  1.654446E-02  1.203272E+02  0.000000E+00  0.000000E+00  4.518211E-03  2.435566E+08  4.077937E+06  6.138858E+07  4.851870E+04  3.249858E+00  8.555284E+03  2.063352E+06  3.193817E+02 -5.110587E+00  3.156726E+03
