 #pulse    Mcore         M_csh         t_csh         Ddredge       lambda        DMh           THeshell       Tbce       THshell     interpulse       Mtot         MaxL          MaxLHe       maxR	   Mbol		Teff
   1   6.796728E-01  9.372592E-03  1.538950E+02  0.000000E+00  0.000000E+00  1.606351E-02  1.976792E+08  3.606820E+06  5.967856E+07  0.000000E+00  3.249936E+00  8.529895E+03  3.683858E+04  3.075987E+02 -5.107359E+00  3.210389E+03
   2   6.816134E-01  1.132482E-02  1.169247E+02  0.000000E+00  0.000000E+00  1.880407E-03  2.106558E+08  3.863718E+06  6.104258E+07  1.806898E+04  3.249919E+00  9.258361E+03  1.229670E+05  3.282637E+02 -5.196335E+00  3.174601E+03
   3   6.838945E-01  1.159561E-02  1.052942E+02  0.000000E+00  0.000000E+00  2.225399E-03  2.186622E+08  4.069342E+06  6.205962E+07  2.050847E+04  3.249889E+00  9.802517E+03  2.122893E+05  3.437732E+02 -5.258344E+00  3.148824E+03
   4   6.865171E-01  1.171362E-02  9.658279E+01  0.000000E+00  0.000000E+00  2.561986E-03  2.262784E+08  4.296868E+06  6.300504E+07  2.205422E+04  3.249834E+00  1.032939E+04  3.643058E+05  3.589246E+02 -5.315186E+00  3.124205E+03
   5   6.893966E-01  1.158512E-02  8.942455E+01  0.000000E+00  0.000000E+00  2.829194E-03  2.322780E+08  4.518522E+06  6.381634E+07  2.301870E+04  3.249740E+00  1.078699E+04  5.441232E+05  3.716720E+02 -5.362251E+00  3.105300E+03
   6   6.925128E-01  1.155305E-02  8.375562E+01  0.000000E+00  0.000000E+00  3.063142E-03  2.375851E+08  4.742852E+06  6.456358E+07  2.362867E+04  3.249583E+00  1.122099E+04  7.809158E+05  3.841610E+02 -5.405078E+00  3.086020E+03
   7   6.957851E-01  1.133871E-02  7.900292E+01  0.000000E+00  0.000000E+00  3.224730E-03  2.418469E+08  4.952427E+06  6.521498E+07  2.381674E+04  3.249330E+00  1.161148E+04  1.036803E+06  3.947458E+02 -5.442219E+00  3.071680E+03
   8   6.991874E-01  1.120573E-02  7.751949E+01  0.000000E+00  0.000000E+00  3.351629E-03  2.458804E+08  5.155628E+06  6.582465E+07  2.379510E+04  3.248930E+00  1.198325E+04  1.382797E+06  4.051798E+02 -5.476437E+00  3.056705E+03
   9   7.026721E-01  1.089817E-02  7.612547E+01  0.000000E+00  0.000000E+00  3.427207E-03  2.487308E+08  5.326052E+06  6.631100E+07  2.356205E+04  3.248303E+00  1.229393E+04  1.627168E+06  4.138837E+02 -5.504227E+00  3.045393E+03
  10   7.062232E-01  1.063889E-02  6.980631E+01  1.299381E-05  3.715128E-03  3.497541E-03  2.517296E+08  0.000000E+00  0.000000E+00  2.320919E+04  3.247334E+00  0.000000E+00  1.969960E+06  0.000000E+00  9.999900E+04  9.999900E+04
  11   7.097660E-01  1.036435E-02  6.692336E+01  1.983643E-04  5.578744E-02  3.555715E-03  2.543388E+08  0.000000E+00  0.000000E+00  2.277498E+04  3.245830E+00  0.000000E+00  2.278689E+06  0.000000E+00  9.999900E+04  9.999900E+04
  12   7.132100E-01  1.018244E-02  6.245897E+01  4.444718E-04  1.220279E-01  3.642380E-03  2.576445E+08  0.000000E+00  0.000000E+00  2.235530E+04  3.243598E+00  0.000000E+00  2.816492E+06  0.000000E+00  9.999900E+04  9.999900E+04
  13   7.165259E-01  1.005334E-02  6.456007E+01  8.097291E-04  2.153341E-01  3.760338E-03  2.611526E+08  0.000000E+00  0.000000E+00  2.210040E+04  3.240155E+00  0.000000E+00  3.583260E+06  0.000000E+00  9.999900E+04  9.999900E+04
  14   7.196534E-01  9.911478E-03  6.673371E+01  1.193047E-03  3.030156E-01  3.937244E-03  2.647077E+08  0.000000E+00  0.000000E+00  2.202181E+04  3.234780E+00  0.000000E+00  4.561136E+06  0.000000E+00  9.999900E+04  9.999900E+04
  15   7.225814E-01  9.827614E-03  6.104133E+01  1.564384E-03  3.796011E-01  4.121125E-03  2.683921E+08  0.000000E+00  0.000000E+00  2.201194E+04  3.226258E+00  0.000000E+00  5.992724E+06  0.000000E+00  9.999900E+04  9.999900E+04
