 #pulse    Mcore         M_csh         t_csh         Ddredge       lambda        DMh           THeshell       Tbce       THshell     interpulse       Mtot         MaxL          MaxLHe       maxR	   Mbol		Teff
   1   5.639194E-01  2.309835E-02  3.782413E+02  0.000000E+00  0.000000E+00  2.553928E-02  1.833629E+08  2.678489E+06  4.955010E+07  0.000000E+00  2.749975E+00  2.997420E+03  2.841474E+04  1.528661E+02 -3.971869E+00  3.487809E+03
   2   5.657148E-01  2.393895E-02  3.415027E+02  0.000000E+00  0.000000E+00  1.735091E-03  1.877863E+08  2.714808E+06  5.004616E+07  5.836315E+04  2.749974E+00  3.172823E+03  4.271736E+04  1.596343E+02 -4.033616E+00  3.463058E+03
   3   5.676821E-01  2.384019E-02  3.379443E+02  0.000000E+00  0.000000E+00  1.922011E-03  1.918367E+08  2.771750E+06  5.078572E+07  5.973429E+04  2.749973E+00  3.411746E+03  5.573968E+04  1.683481E+02 -4.112442E+00  3.434863E+03
   4   5.699512E-01  2.365392E-02  2.655024E+02  0.000000E+00  0.000000E+00  2.224505E-03  1.965925E+08  2.837599E+06  5.160988E+07  6.263646E+04  2.749972E+00  3.699344E+03  7.986930E+04  1.789998E+02 -4.200312E+00  3.400631E+03
   5   5.725595E-01  2.393538E-02  2.526142E+02  0.000000E+00  0.000000E+00  2.575219E-03  2.011652E+08  2.903795E+06  5.244311E+07  6.599909E+04  2.749970E+00  4.001527E+03  1.121837E+05  1.899597E+02 -4.285565E+00  3.368601E+03
   6   5.754794E-01  2.382267E-02  2.571426E+02  0.000000E+00  0.000000E+00  2.876937E-03  2.052571E+08  2.967536E+06  5.320834E+07  6.841973E+04  2.749967E+00  4.295507E+03  1.505392E+05  2.005639E+02 -4.362536E+00  3.339467E+03
   7   5.786505E-01  2.344090E-02  2.504444E+02  0.000000E+00  0.000000E+00  3.126860E-03  2.086909E+08  3.025093E+06  5.389238E+07  6.938381E+04  2.749964E+00  4.568566E+03  1.887896E+05  2.101882E+02 -4.429451E+00  3.314923E+03
   8   5.821314E-01  2.328646E-02  2.392742E+02  0.000000E+00  0.000000E+00  3.424466E-03  2.130849E+08  3.091618E+06  5.463983E+07  7.023842E+04  2.749960E+00  4.879849E+03  2.644613E+05  2.211562E+02 -4.501016E+00  3.287012E+03
   9   5.858098E-01  2.288961E-02  2.186759E+02  0.000000E+00  0.000000E+00  3.629804E-03  2.163817E+08  3.152104E+06  5.527930E+07  7.003091E+04  2.749954E+00  5.160265E+03  3.303072E+05  2.310280E+02 -4.561680E+00  3.263272E+03
  10   5.897363E-01  2.251601E-02  2.058071E+02  0.000000E+00  0.000000E+00  3.885150E-03  2.200250E+08  3.219746E+06  5.595150E+07  6.977287E+04  2.749947E+00  5.465282E+03  4.276043E+05  2.417990E+02 -4.624032E+00  3.238110E+03
  11   5.938281E-01  2.203405E-02  2.051760E+02  0.000000E+00  0.000000E+00  4.055798E-03  2.230681E+08  3.283752E+06  5.655547E+07  6.880070E+04  2.749938E+00  5.751529E+03  5.348615E+05  2.514705E+02 -4.679458E+00  3.218005E+03
  12   5.981008E-01  2.151781E-02  1.653831E+02  0.000000E+00  0.000000E+00  4.222929E-03  2.261878E+08  3.352420E+06  5.716754E+07  6.775212E+04  2.749925E+00  6.051064E+03  6.694132E+05  2.618699E+02 -4.734580E+00  3.194924E+03
  13   6.025187E-01  2.100283E-02  1.828764E+02  0.000000E+00  0.000000E+00  4.378855E-03  2.292827E+08  3.421076E+06  5.776875E+07  6.635004E+04  2.749907E+00  6.350688E+03  8.314770E+05  2.719533E+02 -4.787052E+00  3.174939E+03
  14   6.070634E-01  2.043903E-02  1.764846E+02  0.000000E+00  0.000000E+00  4.490077E-03  2.319186E+08  3.489420E+06  5.832864E+07  6.484784E+04  2.749883E+00  6.645402E+03  9.870533E+05  2.820632E+02 -4.836303E+00  3.154978E+03
  15   6.117234E-01  1.993179E-02  1.710047E+02  0.000000E+00  0.000000E+00  4.623830E-03  2.348643E+08  3.555032E+06  5.886404E+07  6.315213E+04  2.749849E+00  6.934745E+03  1.231745E+06  2.919212E+02 -4.882576E+00  3.136065E+03
  16   6.164824E-01  1.930273E-02  1.604296E+02  0.000000E+00  0.000000E+00  4.713833E-03  2.369277E+08  3.622685E+06  5.937967E+07  6.149550E+04  2.749800E+00  7.218378E+03  1.424547E+06  3.016527E+02 -4.926099E+00  3.117491E+03
  17   6.213146E-01  1.881856E-02  1.555829E+02  0.000000E+00  0.000000E+00  4.785776E-03  2.398028E+08  3.689150E+06  5.984603E+07  5.953867E+04  2.749730E+00  7.487623E+03  1.756144E+06  3.104689E+02 -4.965860E+00  3.102495E+03
  18   6.262152E-01  1.819724E-02  1.372482E+02  0.000000E+00  0.000000E+00  4.855514E-03  2.419330E+08  0.000000E+00  0.000000E+00  5.774277E+04  2.749624E+00  0.000000E+00  2.022985E+06  0.000000E+00  9.999900E+04  9.999900E+04
  19   6.311765E-01  1.767266E-02  1.363272E+02  0.000000E+00  0.000000E+00  4.904568E-03  2.441850E+08  0.000000E+00  0.000000E+00  5.582538E+04  2.749462E+00  0.000000E+00  2.332912E+06  0.000000E+00  9.999900E+04  9.999900E+04
  20   6.361789E-01  1.711982E-02  1.169812E+02  0.000000E+00  0.000000E+00  4.946887E-03  2.463233E+08  0.000000E+00  0.000000E+00  5.388932E+04  2.749205E+00  0.000000E+00  2.683056E+06  0.000000E+00  9.999900E+04  9.999900E+04
  21   6.411828E-01  1.653159E-02  1.101823E+02  0.000000E+00  0.000000E+00  4.950941E-03  2.480447E+08  0.000000E+00  0.000000E+00  5.180651E+04  2.748790E+00  0.000000E+00  2.980596E+06  0.000000E+00  9.999900E+04  9.999900E+04
  22   6.462023E-01  1.600182E-02  1.194668E+02  0.000000E+00  0.000000E+00  4.968047E-03  2.502051E+08  0.000000E+00  0.000000E+00  4.985147E+04  2.748106E+00  0.000000E+00  3.382154E+06  0.000000E+00  9.999900E+04  9.999900E+04
  23   6.512138E-01  1.548821E-02  1.138097E+02  0.000000E+00  0.000000E+00  4.964590E-03  2.519423E+08  0.000000E+00  0.000000E+00  4.793502E+04  2.746904E+00  0.000000E+00  3.735980E+06  0.000000E+00  9.999900E+04  9.999900E+04
  24   6.562005E-01  1.501489E-02  1.002245E+02  1.411438E-04  2.843112E-02  4.964411E-03  2.539177E+08  4.276950E+06  6.331778E+07  4.607005E+04  2.744744E+00  9.612203E+03  4.219930E+06  3.815828E+02 -5.237057E+00  2.991022E+03
