# Initial mass = 6.500, Z =  0.0007, Y =  0.250, M_mix = 0.00E+00
# Final mass = 1.071, Mass expelled =   5.4289
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
 hf  72  -1.041785 -1.751785  0.009793  1.05116E-11  1.27677E-12  5.70665E-11
 ta  73  -1.885094 -1.765094 -0.003515  1.52862E-12 -7.93532E-14  8.29875E-12
  w  74  -1.105517 -1.755517  0.006061  9.34893E-12  6.87200E-13  5.07546E-11
 re  75  -1.515127 -1.775127 -0.013549  3.68730E-12 -6.66550E-13  2.00180E-11
 os  76  -0.414607 -1.764607 -0.003029  4.74801E-11 -2.15020E-12  2.57766E-10
 ir  77  -0.458509 -1.778509 -0.016931  4.33632E-11 -9.73829E-12  2.35415E-10
 pt  78  -0.164364 -1.784364 -0.022785  8.66332E-11  9.51333E-12  4.70324E-10
 au  79  -0.966437 -1.766437 -0.004859  1.37973E-11 -9.60648E-13  7.49045E-11
 hg  80  -0.608173 -1.778173 -0.016595  3.20608E-11  5.65656E-12  1.74055E-10
 tl  81  -0.983351 -1.753351  0.008228  1.37700E-11  1.28939E-12  7.47561E-11
 pb  82   0.282238 -1.757762  0.003817  2.57316E-10  1.01008E-11  1.39695E-09
 bi  83  -1.109417 -1.759417  0.002162  1.05324E-11  1.95084E-13  5.71795E-11
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
    0.1960   0.1431   0.0204  -0.1228  -0.0166
