# Initial mass = 2.000, Z =  0.0010, Y =  0.250, M_mix = 1.00E-03
# Final mass = 0.668, Mass expelled =   1.3320
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
 ta  73   0.430917  0.550917  1.684180  3.36928E-10  4.39447E-10  4.48789E-10
  w  74   1.312059  0.662059  1.795323  2.60355E-09  3.41211E-09  3.46793E-09
 re  75   0.380345  0.120345  1.253609  3.08609E-10  3.88004E-10  4.11067E-10
 os  76   1.313538 -0.036462  1.096801  2.70323E-09  3.31090E-09  3.60071E-09
 ir  77   0.605040 -0.714960  0.418303  5.34439E-10  4.38527E-10  7.11872E-10
 pt  78   1.303535 -0.316465  0.816798  2.70900E-09  3.09460E-09  3.60839E-09
 au  79   0.514087 -0.285913  0.847350  4.44168E-10  5.07043E-10  5.91632E-10
 hg  80   1.785695  0.615695  1.748959  8.45418E-09  1.10732E-08  1.12610E-08
 tl  81   1.523873  0.753873  1.887137  4.71395E-09  6.19707E-09  6.27898E-09
 pb  82   3.606052  1.566052  2.699316  5.77443E-07  7.67608E-07  7.69154E-07
 bi  83   1.748159  1.098159  2.231423  8.07851E-09  1.06970E-08  1.07606E-08
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.5699   1.1112   1.7489   0.6376   0.9505
