Star, Teff (K),log g,[Fe I/H],e[Fe I/H],[Fe II/H],e[Fe II/H],ξ (km s−1),Source
HD24035       ,4700 ,2.5 ,-0.23 ,0.15 ,-0.28 ,0.14 ,1.3 ,I
HD29370       ,4800 ,2.1 ,-0.25 ,0.16 ,-0.28 ,0.10 ,1.6 ,I
HD29685       ,4900 ,2.7 ,-0.07 ,0.14 ,-0.05 ,0.12 ,1.0 ,I
HD30240       ,5100 ,2.7 ,+0.02 ,0.15 ,+0.02 ,0.10 ,1.2 ,I
HD30554       ,4800 ,2.5 ,-0.12 ,0.14 ,-0.10 ,0.10 ,1.2 ,I
HD32712       ,4600 ,2.1 ,-0.24 ,0.16 ,-0.25 ,0.15 ,1.3 ,I
HD32901       ,4400 ,1.6 ,-0.44 ,0.14 ,-0.46 ,0.12 ,1.4 ,I
HD35993       ,5100 ,2.9 ,-0.05 ,0.12 ,-0.06 ,0.13 ,1.5 ,I
HD36650       ,4800 ,2.3 ,-0.28 ,0.13 ,-0.28 ,0.07 ,1.5 ,I
HD38488       ,4400 ,2.0 ,+0.05 ,0.10 ,+0.05 ,0.09 ,1.3 ,I
HD40430       ,4900 ,2.5 ,-0.23 ,0.13 ,-0.22 ,0.11 ,1.3 ,I
HD43389       ,4500 ,1.5 ,-0.50 ,0.17 ,-0.54 ,0.09 ,1.7 ,I
HD49641       ,4400 ,1.5 ,-0.30 ,0.17 ,-0.30 ,0.12 ,1.5 ,I
HD51959       ,5000 ,3.2 ,-0.10 ,0.15 ,-0.11 ,0.14 ,1.3 ,I
HD58368       ,5000 ,2.6 ,+0.04 ,0.14 ,+0.04 ,0.10 ,1.4 ,I
HD59852       ,5000 ,2.2 ,-0.22 ,0.10 ,-0.26 ,0.09 ,1.3 ,I
HD61332       ,4700 ,2.1 ,+0.07 ,0.13 ,+0.07 ,0.11 ,1.3 ,I
HD64425       ,4900 ,2.4 ,+0.06 ,0.16 ,+0.01 ,0.21 ,1.5 ,I
HD66291       ,4600 ,1.5 ,-0.31 ,0.15 ,-0.32 ,0.18 ,1.9 ,I
HD67036       ,4300 ,1.5 ,-0.41 ,0.13 ,-0.41 ,0.14 ,1.5 ,I
HD71458       ,4600 ,2.2 ,-0.03 ,0.10 ,+0.05 ,0.10 ,1.4 ,I
HD74950       ,4200 ,1.2 ,-0.21 ,0.13 ,-0.22 ,0.12 ,1.4 ,I
HD82221       ,4400 ,1.6 ,-0.21 ,0.18 ,-0.18 ,0.13 ,1.6 ,I
HD83548       ,5000 ,2.4 ,+0.03 ,0.14 ,+0.02 ,0.10 ,1.4 ,I
HD84610       ,4900 ,2.5 , 0.00 ,0.14 ,-0.01 ,0.08 ,1.3 ,I
HD84678       ,4600 ,1.7 ,-0.13 ,0.16 ,-0.13 ,0.17 ,1.4 ,I
HD88035       ,4900 ,2.4 ,-0.10 ,0.18 ,-0.14 ,0.12 ,1.5 ,I
HD88562       ,4300 ,1.6 ,-0.27 ,0.15 ,-0.25 ,0.14 ,1.6 ,I
HD89175       ,4900 ,2.1 ,-0.55 ,0.13 ,-0.56 ,0.13 ,1.6 ,I
HD91208       ,5100 ,3.0 ,+0.05 ,0.14 ,+0.06 ,0.09 ,1.1 ,I
HD91979       ,4900 ,2.7 ,-0.11 ,0.12 ,-0.13 ,0.13 ,1.2 ,I
HD92626       ,4800 ,2.3 ,-0.15 ,0.22 ,-0.13 ,0.09 ,1.8 ,I
HD105902      ,4700 ,2.4 ,-0.18 ,0.17 ,-0.18 ,0.18 ,1.4 ,I
HD107264      ,4500 ,1.5 ,-0.19 ,0.17 ,-0.22 ,0.22 ,2.0 ,I
HD107541      ,5000 ,3.2 ,-0.63 ,0.11 ,-0.63 ,0.09 ,1.1 ,I
HD110483      ,4900 ,2.6 ,-0.04 ,0.14 ,-0.03 ,0.18 ,1.5 ,I
HD110591      ,4700 ,1.8 ,-0.56 ,0.12 ,-0.55 ,0.12 ,1.3 ,I
HD111315      ,4900 ,2.0 ,+0.04 ,0.09 ,+0.01 ,0.11 ,1.6 ,I
HD113291      ,4700 ,2.6 ,-0.02 ,0.16 , 0.00 ,0.18 ,1.6 ,I
HD116869      ,4800 ,2.3 ,-0.36 ,0.12 ,-0.36 ,0.11 ,1.3 ,I
HD119185      ,4800 ,2.0 ,-0.43 ,0.10 ,-0.45 ,0.11 ,1.3 ,I
HD120571      ,4600 ,1.7 ,-0.39 ,0.09 ,-0.39 ,0.11 ,1.4 ,I
HD120620      ,5000 ,3.3 ,-0.14 ,0.18 ,-0.15 ,0.17 ,1.3 ,I
HD122687      ,5000 ,2.6 ,-0.07 ,0.13 ,-0.07 ,0.08 ,1.3 ,I
HD123396      ,4600 ,1.9 ,-1.04 ,0.13 ,-1.05 ,0.10 ,1.4 ,I
HD123701      ,5000 ,2.5 ,-0.44 ,0.09 ,-0.46 ,0.07 ,1.6 ,I
HD123949      ,4600 ,2.2 ,-0.09 ,0.18 ,-0.08 ,0.15 ,1.4 ,I
HD126313      ,4900 ,2.2 ,-0.10 ,0.16 ,-0.10 ,0.13 ,1.6 ,I
HD130255      ,4400 ,1.5 ,-1.11 ,0.11 ,-1.09 ,0.09 ,1.3 ,I
HD131670      ,4700 ,2.2 ,-0.04 ,0.15 ,-0.04 ,0.17 ,1.6 ,I
HD136636      ,4900 ,2.5 ,-0.04 ,0.18 ,-0.04 ,0.15 ,1.4 ,I
HD142751      ,4600 ,2.0 ,-0.10 ,0.13 ,-0.12 ,0.19 ,1.5 ,I
HD143899      ,5000 ,2.5 ,-0.27 ,0.12 ,-0.27 ,0.09 ,1.2 ,I
HD147884      ,5100 ,3.0 ,-0.09 ,0.15 ,-0.10 ,0.09 ,1.2 ,I
HD148177      ,4400 ,1.6 ,-0.15 ,0.15 ,-0.16 ,0.21 ,1.4 ,I
