# Initial mass = 6.000, Z =  0.0002, Y =  0.250, M_mix = 0.00E+00
# Final mass = 1.017, Mass expelled =   4.9827
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
 hf  72  -1.034300 -1.744300  0.017250  1.06803E-11  2.02359E-12  5.32163E-11
 ta  73  -1.877693 -1.757693  0.003857  1.55285E-12  4.95107E-14  7.73735E-12
  w  74  -1.097874 -1.747874  0.013676  9.50244E-12  1.40416E-12  4.73475E-11
 re  75  -1.511298 -1.771298 -0.009748  3.71507E-12 -4.69146E-13  1.85109E-11
 os  76  -0.412864 -1.762864 -0.001314  4.76086E-11 -1.28772E-12  2.37218E-10
 ir  77  -0.457164 -1.777164 -0.015614  4.34408E-11 -8.50500E-12  2.16451E-10
 pt  78  -0.165013 -1.785013 -0.023463  8.63902E-11  7.61585E-12  4.30453E-10
 au  79  -0.965896 -1.765896 -0.004346  1.37964E-11 -8.71574E-13  6.87430E-11
 hg  80  -0.603724 -1.773723 -0.012174  3.23485E-11  6.65740E-12  1.61182E-10
 tl  81  -0.974822 -1.744822  0.016728  1.40246E-11  2.46613E-12  6.98801E-11
 pb  82   0.286030 -1.753970  0.007580  2.59232E-10  1.90716E-11  1.29167E-09
 bi  83  -1.107235 -1.757235  0.004315  1.05716E-11  3.85372E-13  5.26746E-11
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
    0.2653   0.2286   0.0387  -0.1899  -0.0311
