# Initial mass = 5.000, Z =  0.0028, Y =  0.250, M_mix = 0.00E+00
# Final mass = 0.923, Mass expelled =   4.0770
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i)
 ta  73  -0.713907 -0.593907  0.065807  2.22728E-11  1.07489E-11  9.08063E-11
  w  74   0.073380 -0.576620  0.083095  1.38659E-10  8.68836E-11  5.65315E-10
 re  75  -0.380824 -0.640824  0.018890  4.93516E-11  3.55721E-12  2.01207E-10
 os  76   0.699975 -0.650025  0.009689  6.07272E-10 -7.83063E-12  2.47585E-09
 ir  77   0.650616 -0.669384 -0.009670  5.47691E-10 -1.09644E-10  2.23294E-09
 pt  78   0.931114 -0.688886 -0.029172  1.06035E-09 -8.01545E-11  4.32306E-09
 au  79   0.139938 -0.660062 -0.000347  1.73165E-10 -1.89366E-11  7.05995E-10
 hg  80   0.545196 -0.624804  0.034910  4.48366E-10  2.18848E-10  1.82799E-09
 tl  81   0.208248 -0.561752  0.097962  2.10291E-10  1.55342E-10  8.57358E-10
 pb  82   1.436106 -0.603894  0.055820  3.60267E-09  1.43592E-09  1.46881E-08
 bi  83   0.031070 -0.618930  0.040784  1.42989E-10  3.84535E-11  5.82967E-10
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
    0.5398   0.8520   0.2046  -0.6474  -0.1488
