# Initial mass = 2.000, Z =  0.0028, Y =  0.250, M_mix = 2.00E-03
# Final mass = 0.659, Mass expelled =   1.3410
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  w  74   2.020607  1.370607  2.063297  1.35134E-08  1.79641E-08  1.81215E-08
 re  75   1.087425  0.827425  1.520115  1.59639E-09  2.07574E-09  2.14075E-09
 os  76   2.020614  0.670614  1.363304  1.39833E-08  1.79347E-08  1.87516E-08
 ir  77   1.256904 -0.063096  0.629593  2.43452E-09  2.49417E-09  3.26469E-09
 pt  78   2.005076  0.385076  1.077766  1.38357E-08  1.71054E-08  1.85537E-08
 au  79   1.225365  0.425365  1.118055  2.31993E-09  2.87258E-09  3.11103E-09
 hg  80   2.514159  1.344159  2.036849  4.59394E-08  6.10755E-08  6.16048E-08
 tl  81   2.205218  1.435218  2.127908  2.29816E-08  3.05875E-08  3.08184E-08
 pb  82   4.007083  1.967083  2.659773  1.47635E-06  1.97543E-06  1.97979E-06
 bi  83   2.001003  1.351003  2.043693  1.46834E-08  1.95113E-08  1.96904E-08
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.7316   1.3516   1.9939   0.6423   0.6659
