# Initial mass = 4.000, Z =  0.0028, Y =  0.250, M_mix = 5.00E-04
# Final mass = 0.867, Mass expelled =   3.1330
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  w  74   1.608938  0.958938  1.653262  5.22491E-09  1.60020E-08  1.63697E-08
 re  75   0.728778  0.468778  1.163101  6.97389E-10  2.03303E-09  2.18492E-09
 os  76   1.643901  0.293901  0.988224  5.85977E-09  1.64501E-08  1.83587E-08
 ir  77   0.980617 -0.339383  0.354940  1.28561E-09  2.22764E-09  4.02781E-09
 pt  78   1.616934 -0.003066  0.691257  5.64733E-09  1.43094E-08  1.76931E-08
 au  79   0.828693  0.028693  0.723017  9.28512E-10  2.35195E-09  2.90903E-09
 hg  80   2.033639  0.863639  1.557963  1.51583E-08  4.62543E-08  4.74908E-08
 tl  81   1.864936  1.094936  1.789259  1.04733E-08  3.22732E-08  3.28127E-08
 pb  82   3.545113  1.505113  2.199436  5.08398E-07  1.58263E-06  1.59281E-06
 bi  83   2.075216  1.425216  2.119540  1.73789E-08  5.40296E-08  5.44480E-08
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.0687   1.0385   1.5684   0.5298   0.6311
