# Initial mass = 2.750, Z =  0.0028, Y =  0.250, M_mix = 1.00E-03
# Final mass = 0.706, Mass expelled =   2.0440
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  w  74   2.049055  1.399055  2.084976  1.41836E-08  2.87515E-08  2.89913E-08
 re  75   1.132804  0.872804  1.558725  1.74217E-09  3.46191E-09  3.56100E-09
 os  76   2.027739  0.677739  1.363660  1.39736E-08  2.73169E-08  2.85621E-08
 ir  77   1.247855 -0.072145  0.613776  2.34390E-09  3.61647E-09  4.79092E-09
 pt  78   1.982945  0.362945  1.048867  1.29254E-08  2.42120E-08  2.64196E-08
 au  79   1.194474  0.394474  1.080395  2.12402E-09  3.97806E-09  4.34150E-09
 hg  80   2.488941  1.318941  2.004862  4.26130E-08  8.62942E-08  8.71009E-08
 tl  81   2.285289  1.515289  2.201210  2.71660E-08  5.51753E-08  5.55272E-08
 pb  82   3.721006  1.681006  2.366928  7.51084E-07  1.52857E-06  1.53522E-06
 bi  83   1.747176  1.097176  1.783097  8.04587E-09  1.61728E-08  1.64458E-08
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.5140   1.3523   2.0272   0.6748   0.3398
