# Initial mass = 2.750, Z =  0.0028, Y =  0.250, M_mix = 2.00E-03
# Final mass = 0.706, Mass expelled =   2.0440
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  w  74   2.257244  1.607244  2.294558  2.29075E-08  4.65831E-08  4.68230E-08
 re  75   1.334492  1.074492  1.761805  2.77193E-09  5.56674E-09  5.66583E-09
 os  76   2.232786  0.882786  1.570100  2.24057E-08  4.45522E-08  4.57973E-08
 ir  77   1.416376  0.096376  0.783690  3.45512E-09  5.88781E-09  7.06226E-09
 pt  78   2.179293  0.559293  1.246606  2.03140E-08  3.93142E-08  4.15218E-08
 au  79   1.389342  0.589342  1.276656  3.32683E-09  6.43659E-09  6.80004E-09
 hg  80   2.693817  1.523817  2.211131  6.82999E-08  1.38798E-07  1.39605E-07
 tl  81   2.489931  1.719931  2.407245  4.35181E-08  8.85990E-08  8.89509E-08
 pb  82   3.881701  1.841702  2.529015  1.08739E-06  2.21598E-06  2.22263E-06
 bi  83   1.939078  1.289078  1.976392  1.25163E-08  2.53104E-08  2.55834E-08
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.3976   1.5917   2.2514   0.6597   0.2776
