# Initial mass = 2.750, Z =  0.0007, Y =  0.250, M_mix = 1.00E-03
# Final mass = 0.780, Mass expelled =   1.9697
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
 ta  73  -0.068927  0.051073  1.855945  1.07359E-10  2.08425E-10  2.11465E-10
  w  74   0.838596  0.188596  1.993468  8.81550E-10  1.71822E-09  1.73639E-09
 re  75  -0.073771 -0.333771  1.471100  1.09254E-10  2.07692E-10  2.15197E-10
 os  76   0.853818 -0.496182  1.308689  9.44729E-10  1.76653E-09  1.86084E-09
 ir  77   0.081675 -1.238325  0.566546  1.61316E-10  2.28798E-10  3.17744E-10
 pt  78   0.800586 -0.819414  0.985457  8.57047E-10  1.52094E-09  1.68813E-09
 au  79   0.004109 -0.795891  1.008981  1.38266E-10  2.44817E-10  2.72342E-10
 hg  80   1.248530  0.078530  1.883402  2.47201E-09  4.80802E-09  4.86912E-09
 tl  81   1.086745  0.316745  2.121617  1.73540E-09  3.39157E-09  3.41823E-09
 pb  82   3.130520  1.090520  2.895391  1.94590E-07  3.82780E-07  3.83283E-07
 bi  83   1.697304  1.047304  2.852175  7.23802E-09  1.42361E-08  1.42567E-08
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.0620   1.3779   1.9117   0.5338   0.9837
