# Initial mass = 6.000, Z =  0.0007, Y =  0.250, M_mix = 0.00E+00
# Final mass = 1.016, Mass expelled =   4.9842
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
 hf  72  -1.034862 -1.744862  0.017282  1.06788E-11  2.00569E-12  5.32253E-11
 ta  73  -1.878396 -1.758396  0.003748  1.55213E-12  4.43274E-14  7.73613E-12
  w  74  -1.098565 -1.748565  0.013579  9.49828E-12  1.37525E-12  4.73413E-11
 re  75  -1.512042 -1.772042 -0.009898  3.71299E-12 -4.83898E-13  1.85063E-11
 os  76  -0.413671 -1.763672 -0.001528  4.75750E-11 -1.50144E-12  2.37123E-10
 ir  77  -0.457849 -1.777849 -0.015705  4.34224E-11 -8.64560E-12  2.16426E-10
 pt  78  -0.165613 -1.785613 -0.023470  8.63705E-11  7.42484E-12  4.30488E-10
 au  79  -0.966438 -1.766438 -0.004295  1.37951E-11 -8.93001E-13  6.87576E-11
 hg  80  -0.604156 -1.774155 -0.012012  3.23537E-11  6.65294E-12  1.61257E-10
 tl  81  -0.975318 -1.745318  0.016826  1.40248E-11  2.45400E-12  6.99026E-11
 pb  82   0.285950 -1.754050  0.008093  2.59484E-10  2.00769E-11  1.29332E-09
 bi  83  -1.107354 -1.757354  0.004789  1.05809E-11  4.20674E-13  5.27372E-11
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
    0.2886   0.2428   0.0385  -0.2043  -0.0304
