# Initial mass = 2.250, Z =  0.0007, Y =  0.250, M_mix = 2.00E-03
# Final mass = 0.694, Mass expelled =   1.5561
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
 ta  73   0.159708  0.279708  2.068465  1.78022E-10  2.74611E-10  2.77012E-10
  w  74   1.086957  0.436957  2.225714  1.52970E-09  2.36595E-09  2.38030E-09
 re  75   0.167783 -0.092217  1.696540  1.86634E-10  2.84484E-10  2.90412E-10
 os  76   1.082703 -0.267297  1.521460  1.56744E-09  2.36453E-09  2.43903E-09
 ir  77   0.260633 -1.059367  0.729391  2.38582E-10  3.00979E-10  3.71246E-10
 pt  78   1.016006 -0.603994  1.184763  1.37855E-09  2.01303E-09  2.14511E-09
 au  79   0.217615 -0.582385  1.206372  2.21421E-10  3.22799E-10  3.44544E-10
 hg  80   1.524812  0.354812  2.143569  4.57439E-09  7.06974E-09  7.11800E-09
 tl  81   1.359036  0.589036  2.377794  3.18195E-09  4.93023E-09  4.95129E-09
 pb  82   3.350228  1.310228  3.098986  3.16103E-07  4.91477E-07  4.91874E-07
 bi  83   1.628873  0.978873  2.767630  6.05604E-09  9.40720E-09  9.42354E-09
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.3578   1.5363   2.1594   0.6231   0.9396
