# Initial mass = 3.000, Z =  0.0002, Y =  0.250, M_mix = 1.00E-04
# Final mass = 0.840, Mass expelled =   2.1600
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
 hf  72  -0.359575 -1.069575  0.738621  5.58030E-11  9.83435E-11  1.20536E-10
 ta  73  -1.289181 -1.169181  0.639016  6.65260E-12  1.10370E-11  1.43698E-11
  w  74  -0.415927 -1.065927  0.742270  5.04815E-11  8.91246E-11  1.09041E-10
 re  75  -1.173079 -1.433079  0.375117  8.94406E-12  1.10914E-11  1.93194E-11
 os  76  -0.175138 -1.525138  0.283058  9.09410E-11  9.30409E-11  1.96435E-10
 ir  77  -0.438505 -1.758505  0.049691  5.01079E-11  1.07140E-11  1.08234E-10
 pt  78  -0.059502 -1.679502  0.128695  1.21710E-10  7.95931E-11  2.62897E-10
 au  79  -0.848074 -1.648074  0.160123  1.99957E-11  1.30128E-11  4.31914E-11
 hg  80   0.046118 -1.123882  0.684314  1.59605E-10  2.77763E-10  3.44751E-10
 tl  81  -0.135587 -0.905587  0.902610  1.07023E-10  2.01948E-10  2.31173E-10
 pb  82   2.213121  0.173121  1.981318  2.42175E-08  5.17588E-08  5.23105E-08
 bi  83   0.694138  0.044138  1.852334  7.39369E-10  1.57439E-09  1.59706E-09
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
    0.3161   0.4257   0.6030   0.1773   1.3783
