# Initial mass = 2.000, Z =  0.0002, Y =  0.250, M_mix = 2.00E-03
# Final mass = 0.684, Mass expelled =   1.3158
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  6.76031E-01 -1.04928E-01  8.89518E-01
 he   2  11.064904  0.134904  1.915660  3.11742E-01  8.09945E-02  4.10189E-01
  c   6   9.262831  0.792830  2.573587  1.47542E-02  1.93611E-02  1.94135E-02
  n   7   6.763187 -1.106813  0.673944  5.44551E-05  5.62922E-05  7.16517E-05
  o   8   7.707026 -1.022974  0.757782  5.46544E-04  5.93753E-04  7.19139E-04
  f   9   5.493629  1.033629  2.814385  3.97048E-06  5.21623E-06  5.22434E-06
 ne  10   8.197369  0.227369  2.008125  2.13205E-03  2.77748E-03  2.80533E-03
 na  11   6.289688 -0.020312  1.760445  3.00423E-05  3.88352E-05  3.95295E-05
 mg  12   6.558376 -1.081624  0.699132  5.89627E-05  6.18893E-05  7.75829E-05
 al  13   5.023172 -1.446827  0.333929  1.90877E-06  1.33365E-06  2.51155E-06
 si  14   5.798971 -1.751029  0.029727  1.18568E-05  8.60276E-07  1.56011E-05
  p  15   3.946343 -1.523656  0.257100  1.83589E-07  1.06350E-07  2.41566E-07
  s  16   5.382930 -1.777070  0.003686  5.19359E-06 -2.21530E-08  6.83369E-06
 cl  17   3.509755 -1.720245  0.060512  7.68980E-08  1.21221E-08  1.01182E-07
 ar  18   4.657347 -1.782653 -0.001897  1.21716E-06 -2.59569E-08  1.60153E-06
  k  19   3.320568 -1.759432  0.021325  5.48566E-08  2.73987E-09  7.21800E-08
 ca  20   4.505935 -1.784065 -0.003309  8.61682E-07 -2.21064E-08  1.13380E-06
 sc  21   1.460961 -1.589039  0.191718  8.71477E-10  4.00551E-10  1.14668E-09
 ti  22   3.162582 -1.747417  0.033339  4.66794E-08  3.86765E-09  6.14205E-08
  v  23   2.173243 -1.786757 -0.006001  5.09126E-09 -1.56115E-10  6.69905E-09
 cr  24   3.843220 -1.796780 -0.016024  2.43050E-07 -1.34634E-09  3.19804E-07
 mn  25   3.714428 -1.765572  0.015184  1.90901E-07  5.76711E-09  2.51186E-07
 fe  26   5.759243 -1.780756  0.000000  2.15146E-05 -3.33815E-07  2.83088E-05
 co  27   3.427944 -1.442056  0.338701  1.05879E-07  7.46921E-08  1.39315E-07
 ni  28   4.439898 -1.760102  0.020654  1.08390E-06  5.01906E-08  1.42619E-06
 cu  29   2.790043 -1.459957  0.320799  2.62807E-08  1.78646E-08  3.45801E-08
 zn  30   2.957621 -1.672379  0.108377  3.97891E-08  1.10807E-08  5.23543E-08
 ga  31   1.686938 -1.393062  0.387695  2.27416E-09  1.75237E-09  2.99233E-09
 ge  32   2.179550 -1.400450  0.380307  7.36601E-09  5.91791E-09  9.69216E-09
 as  33   0.817009 -1.482991  0.297765  3.29704E-10  2.12699E-10  4.33823E-10
 se  34   2.091491 -1.248509  0.532247  6.53739E-09  6.29241E-09  8.60186E-09
 br  35   1.264816 -1.275184  0.505573  9.86031E-10  8.87582E-10  1.29741E-09
 kr  36   2.335017 -0.914983  0.865774  1.21551E-08  1.37973E-08  1.59936E-08
 rb  37   1.592268 -0.767732  1.013025  2.24171E-09  2.65999E-09  2.94962E-09
 sr  38   2.407888 -0.472112  1.308645  1.50314E-08  1.88005E-08  1.97782E-08
  y  39   1.849092 -0.320908  1.459849  4.21241E-09  5.34814E-09  5.54267E-09
 zr  40   2.261208 -0.268792  1.511964  1.11641E-08  1.42324E-08  1.46897E-08
 nb  41   1.114906 -0.295094  1.485663  8.11813E-10  1.03285E-09  1.06818E-09
 mo  42   1.532091 -0.407909  1.372848  2.19078E-09  2.78910E-09  2.88261E-09
 ru  44   1.116047 -0.643953  1.136803  8.85472E-10  1.10146E-09  1.16510E-09
 rh  45   0.081634 -0.978366  0.802390  8.32878E-11  9.21124E-11  1.09590E-10
 pd  46   1.160485 -0.489515  1.291242  1.03280E-09  1.29759E-09  1.35895E-09
 ag  47   0.380654 -0.819346  0.961411  1.73801E-10  2.03399E-10  2.28687E-10
 cd  48   1.376393 -0.333607  1.447150  1.79353E-09  2.28209E-09  2.35992E-09
 in  49   0.256521 -0.503479  1.277278  1.39007E-10  1.73551E-10  1.82905E-10
 sn  50   1.862735 -0.207265  1.573491  5.80402E-09  7.45821E-09  7.63690E-09
 sb  51   0.350410 -0.659590  1.121167  1.82987E-10  2.30230E-10  2.40774E-10
 te  52   1.455848 -0.724152  1.056604  2.44459E-09  3.11919E-09  3.21657E-09
  i  53   0.361744 -1.188256  0.592500  1.95761E-10  1.90977E-10  2.57581E-10
 xe  54   1.617692 -0.622308  1.158448  3.65124E-09  4.49440E-09  4.80428E-09
 cs  55   0.395796 -0.684204  1.096552  2.21740E-10  2.68128E-10  2.91764E-10
 ba  56   2.422921  0.242921  2.023678  2.43884E-08  3.17833E-08  3.20901E-08
 la  57   1.427683  0.257683  2.038439  2.49408E-09  3.25133E-09  3.28170E-09
 ce  58   1.956518  0.376518  2.157275  8.50183E-09  1.11082E-08  1.11867E-08
