 #pulse    Mcore         M_csh         t_csh         Ddredge       lambda        DMh           THeshell       Tbce       THshell     interpulse       Mtot         MaxL          MaxLHe       maxR	   Mbol		Teff
  24   6.741913E-01  1.373255E-02  9.813997E+01  1.705945E-03  3.191637E-01  5.345047E-03  2.642121E+08  0.000000E+00  0.000000E+00  4.076460E+04  2.994253E+00  0.000000E+00  8.117819E+06  0.000000E+00  9.999900E+04  9.999900E+04
  25   6.780944E-01  1.358283E-02  1.013362E+02  2.327502E-03  4.149514E-01  5.609095E-03  2.679118E+08  0.000000E+00  0.000000E+00  4.043662E+04  2.991327E+00  0.000000E+00  1.073914E+07  0.000000E+00  9.999900E+04  9.999900E+04
  26   6.816759E-01  1.348203E-02  9.824766E+01  2.919078E-03  4.940082E-01  5.908966E-03  2.716503E+08  0.000000E+00  0.000000E+00  4.034882E+04  2.986607E+00  0.000000E+00  1.445064E+07  0.000000E+00  9.999900E+04  9.999900E+04
  27   6.849485E-01  1.337945E-02  9.383955E+01  3.487885E-03  5.633188E-01  6.191671E-03  2.753439E+08  5.611758E+06  6.689239E+07  4.031977E+04  2.978786E+00  1.200217E+04  1.906091E+07  4.385162E+02 -5.478150E+00  2.954036E+03
  28   6.879506E-01  1.331717E-02  9.988923E+01  3.981292E-03  6.134510E-01  6.489992E-03  2.790931E+08  5.829016E+06  6.737817E+07  4.040223E+04  2.965461E+00  1.235327E+04  2.504391E+07  4.500532E+02 -5.509455E+00  2.938360E+03
  29   6.906985E-01  1.321661E-02  9.519487E+01  4.409432E-03  6.552699E-01  6.729186E-03  2.822576E+08  6.010790E+06  6.776672E+07  4.032224E+04  2.941815E+00  1.266472E+04  3.158366E+07  4.614514E+02 -5.536490E+00  2.922474E+03
  30   6.932437E-01  1.313269E-02  9.939539E+01  4.739583E-03  6.814964E-01  6.954670E-03  2.853466E+08  6.164144E+06  6.810615E+07  4.021555E+04  2.894926E+00  1.294976E+04  3.911450E+07  4.727257E+02 -5.560655E+00  2.905546E+03
  31   6.956108E-01  1.301920E-02  9.719544E+01  4.958451E-03  6.977245E-01  7.106602E-03  2.879549E+08  6.199878E+06  6.838690E+07  3.991661E+04  2.745829E+00  1.320207E+04  4.650478E+07  4.899496E+02 -5.581604E+00  2.874066E+03
  32   6.978565E-01  1.287651E-02  1.003905E+02  4.200518E-03  5.830672E-01  7.204175E-03  2.901798E+08  5.756152E+06  6.855829E+07  3.956746E+04  2.229178E+00  1.335397E+04  5.354980E+07  5.513386E+02 -5.594026E+00  2.741824E+03
  33   7.001901E-01  1.222718E-02  9.097424E+01  3.489256E-03  5.340023E-01  6.534159E-03  2.885493E+08  4.162172E+06  6.839261E+07  3.702132E+04  1.628120E+00  1.327984E+04  4.288166E+07  6.629320E+02 -5.587982E+00  2.546546E+03
