# Initial mass = 3.000, Z =  0.0028, Y =  0.250, M_mix = 2.00E-03
# Final mass = 0.748, Mass expelled =   2.2520
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  w  74   2.121693  1.471693  2.168125  1.70616E-08  3.81585E-08  3.84228E-08
 re  75   1.199221  0.939221  1.635653  2.06588E-09  4.54318E-09  4.65235E-09
 os  76   2.108823  0.758823  1.455255  1.71392E-08  3.72255E-08  3.85974E-08
 ir  77   1.308715 -0.011285  0.685147  2.74407E-09  4.88567E-09  6.17964E-09
 pt  78   2.056601  0.436601  1.133033  1.55846E-08  3.26644E-08  3.50966E-08
 au  79   1.263951  0.463951  1.160384  2.53649E-09  5.31174E-09  5.71217E-09
 hg  80   2.552018  1.382018  2.078451  5.01436E-08  1.12034E-07  1.12923E-07
 tl  81   2.395052  1.625052  2.321485  3.55946E-08  7.97713E-08  8.01591E-08
 pb  82   3.943871  1.903872  2.600304  1.27688E-06  2.86821E-06  2.87553E-06
 bi  83   2.327472  1.677472  2.373904  3.11505E-08  6.98501E-08  7.01509E-08
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.1303   1.4653   2.1157   0.6504   0.4846
