# Initial mass = 2.000, Z =  0.0028, Y =  0.250, M_mix = 1.00E-03
# Final mass = 0.659, Mass expelled =   1.3410
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i)
  w  74   1.821573  1.171573  1.863450  8.54696E-09  1.13041E-08  1.14615E-08
 re  75   0.890794  0.630794  1.322670  1.01528E-09  1.29649E-09  1.36150E-09
 os  76   1.833347  0.483347  1.175224  9.08709E-09  1.13689E-08  1.21858E-08
 ir  77   1.111764 -0.208236  0.483640  1.74322E-09  1.56714E-09  2.33766E-09
 pt  78   1.824573  0.204573  0.896449  9.13228E-09  1.07981E-08  1.22464E-08
 au  79   1.045604  0.245604  0.937480  1.53389E-09  1.81851E-09  2.05695E-09
 hg  80   2.308043  1.138044  1.829920  2.85858E-08  3.78043E-08  3.83336E-08
 tl  81   1.975693  1.205693  1.897569  1.35499E-08  1.79395E-08  1.81704E-08
 pb  82   3.684544  1.644544  2.336420  7.02637E-07  9.37878E-07  9.42237E-07
 bi  83   1.638326  0.988326  1.680202  6.37131E-09  8.36483E-09  8.54393E-09
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.7535   1.0980   1.8337   0.7357   0.5027
