# Initial mass = 7.000, Z =  0.0028, Y =  0.250, M_mix = 0.00E+00
# Final mass = 1.109, Mass expelled =   5.8910
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)         Net M(i)      Mass(i)
 hf  72   0.057203 -0.652797  0.002922  1.31685E-10  5.46641E-12  7.75755E-10
 ta  73  -0.784087 -0.664087 -0.008368  1.92391E-11 -2.34037E-12  1.13337E-10
  w  74  -0.004873 -0.654873  0.000846  1.17567E-10  1.28481E-12  6.92587E-10
 re  75  -0.409853 -0.669853 -0.014134  4.68664E-11 -9.50037E-12  2.76090E-10
 os  76   0.691083 -0.658917 -0.003198  6.04060E-10 -3.02320E-11  3.55852E-09
 ir  77   0.648685 -0.671316 -0.015597  5.53597E-10 -1.23636E-10  3.26124E-09
 pt  78   0.940048 -0.679952 -0.024233  1.09894E-09  1.11491E-10  6.47386E-09
 au  79   0.138890 -0.661110 -0.005391  1.75389E-10 -1.42647E-11  1.03321E-09
 hg  80   0.492232 -0.677768 -0.022049  4.02958E-10  4.87190E-11  2.37382E-09
 tl  81   0.118218 -0.651782  0.003937  1.73533E-10  7.91556E-12  1.02228E-09
 pb  82   1.386331 -0.653669  0.002049  3.26166E-09  6.59153E-11  1.92145E-08
 bi  83  -0.004513 -0.654513  0.001206  1.33755E-10  1.16379E-12  7.87951E-10
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
    0.0993   0.0331   0.0019  -0.0311   0.0001
