# Initial mass = 2.250, Z =  0.0028, Y =  0.250, M_mix = 4.00E-03
# Final mass = 0.664, Mass expelled =   1.5860
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)     Net M(i) Mass(i) 
  p   1  12.000000  0.000000  0.000000  6.97131E-01 -8.88375E-02  1.10565E+00
 he   2  11.023016  0.093016  0.781846  2.91914E-01  6.61959E-02  4.62976E-01
  c   6   9.108943  0.638943  1.327773  1.06752E-02  1.61266E-02  1.69309E-02
  n   7   7.629693 -0.240307  0.448523  4.12945E-04  4.19311E-04  6.54930E-04
  o   8   8.182003 -0.547997  0.140833  1.68248E-03  7.44964E-04  2.66841E-03
  f   9   5.329308  0.869308  1.558138  2.80459E-06  4.32376E-06  4.44809E-06
 ne  10   8.313484  0.343484  1.032314  2.87249E-03  4.12843E-03  4.55577E-03
 na  11   6.641507  0.331507  1.020337  6.96466E-05  9.98079E-05  1.10460E-04
 mg  12   7.081789 -0.558210  0.130620  2.02927E-04  8.10988E-05  3.21842E-04
 al  13   5.854160 -0.615840  0.072990  1.33379E-05  3.08479E-06  2.11540E-05
 si  14   6.867929 -0.682072  0.006758  1.43309E-04  1.15966E-06  2.27288E-04
  p  15   4.931610 -0.538390  0.150440  1.83004E-06  8.28197E-07  2.90245E-06
  s  16   6.473659 -0.686341  0.002489  6.60001E-05 -4.94416E-07  1.04676E-04
 cl  17   4.588437 -0.641563  0.047266  9.50482E-07  1.41263E-07  1.50746E-06
 ar  18   5.751532 -0.688468  0.000362  1.55913E-05 -2.38393E-07  2.47278E-05
  k  19   4.410588 -0.669412  0.019418  6.95981E-07  3.85950E-08  1.10383E-06
 ca  20   5.600757 -0.689243 -0.000413  1.10539E-05 -2.00316E-07  1.75315E-05
 sc  21   2.513444 -0.536556  0.152274  1.01411E-08  4.63793E-09  1.60838E-08
 ti  22   4.267601 -0.642398  0.046432  6.13045E-07  8.94140E-08  9.72290E-07
  v  23   3.273146 -0.686854  0.001976  6.60808E-08 -3.55982E-10  1.04804E-07
 cr  24   4.934716 -0.705284 -0.016454  3.09415E-06 -1.92231E-08  4.90732E-06
 mn  25   4.811839 -0.668161  0.020669  2.46358E-06  1.42438E-07  3.90723E-06
 fe  26   6.851170 -0.688830  0.000000  2.74163E-04 -4.56345E-06  4.34823E-04
 co  27   4.319578 -0.550422  0.138408  8.50728E-07  3.57923E-07  1.34926E-06
 ni  28   5.521848 -0.678152  0.010678  1.34986E-05  3.00532E-07  2.14088E-05
 cu  29   3.777459 -0.472541  0.216289  2.63271E-07  1.61128E-07  4.17547E-07
 zn  30   4.110611 -0.519389  0.169441  5.83584E-07  2.92417E-07  9.25565E-07
 ga  31   2.960895 -0.119105  0.569725  4.40682E-08  5.08709E-08  6.98922E-08
 ge  32   3.482386 -0.097614  0.591216  1.52551E-07  1.84048E-07  2.41946E-07
 as  33   2.084736 -0.215264  0.473566  6.29796E-09  6.59646E-09  9.98857E-09
 se  34   3.426541  0.086541  0.775371  1.45815E-07  1.95836E-07  2.31263E-07
 br  35   2.591742  0.051742  0.740571  2.15856E-08  2.79479E-08  3.42348E-08
 kr  36   3.647245  0.397245  1.086075  2.57237E-07  3.74286E-07  4.07978E-07
 rb  37   2.732283  0.372283  1.061113  3.19110E-08  4.61678E-08  5.06109E-08
 sr  38   3.866090  0.986090  1.674920  4.45193E-07  6.91078E-07  7.06076E-07
  y  39   3.263464  1.093464  1.782294  1.12784E-07  1.75892E-07  1.78876E-07
 zr  40   3.678342  1.148342  1.837172  3.00819E-07  4.70085E-07  4.77099E-07
 nb  41   2.484559  1.074559  1.763389  1.96091E-08  3.05581E-08  3.11000E-08
 mo  42   2.927288  0.987288  1.676118  5.61231E-08  8.75768E-08  8.90113E-08
 ru  44   2.643757  0.883757  1.572587  3.07775E-08  4.78369E-08  4.88131E-08
 rh  45   1.570517  0.510517  1.199347  2.64736E-09  3.93060E-09  4.19871E-09
 pd  46   2.651500  1.001500  1.690330  3.29896E-08  5.13803E-08  5.23215E-08
 ag  47   1.845556  0.645556  1.334386  5.22762E-09  7.90307E-09  8.29100E-09
 cd  48   2.836712  1.126712  1.815542  5.33796E-08  8.34661E-08  8.46600E-08
 in  49   1.696373  0.936373  1.625203  3.94673E-09  6.11602E-09  6.25952E-09
 sn  50   3.284931  1.214931  1.903761  1.58224E-07  2.48202E-07  2.50943E-07
 sb  51   1.764061  0.754061  1.442891  4.89126E-09  7.59579E-09  7.75754E-09
 te  52   2.891809  0.711808  1.400638  6.87882E-08  1.07604E-07  1.09098E-07
  i  53   1.745717  0.195717  0.884547  4.88705E-09  6.72914E-09  7.75086E-09
 xe  54   3.014765  0.774765  1.463595  9.39421E-08  1.44239E-07  1.48992E-07
 cs  55   1.828121  0.748121  1.436951  6.18753E-09  9.45085E-09  9.81343E-09
 ba  56   3.852448  1.672448  2.361278  6.76175E-07  1.06771E-06  1.07241E-06
 la  57   2.851960  1.681960  2.370790  6.83180E-08  1.07887E-07  1.08352E-07
 ce  58   3.352925  1.772925  2.461755  2.18407E-07  3.45190E-07  3.46394E-07
 pr  59   2.314242  1.554242  2.243072  2.00924E-08  3.16826E-08  3.18666E-08
 nd  60   3.105647  1.655647  2.344477  1.27229E-07  2.00915E-07  2.01786E-07
 sm  62   2.303498  1.363498  2.052328  2.09163E-08  3.29528E-08  3.31733E-08
 eu  63   1.227413  0.717413  1.406243  1.77422E-09  2.70233E-09  2.81392E-09
 gd  64   2.147837  1.097837  1.786667  1.52856E-08  2.38426E-08  2.42429E-08
 tb  65   1.122217  0.802217  1.491047  1.45634E-09  2.23441E-09  2.30976E-09
 dy  66   2.279444  1.149444  1.838274  2.13871E-08  3.34233E-08  3.39200E-08
 ho  67   1.253115  0.783115  1.471945  2.04300E-09  3.12975E-09  3.24020E-09
 er  68   2.134726  1.214725  1.903555  1.57750E-08  2.47090E-08  2.50192E-08
 tm  69   1.175879  1.055879  1.744709  1.75166E-09  2.72760E-09  2.77814E-09
 yb  70   2.445055  1.525055  2.213885  3.33469E-08  5.26045E-08  5.28882E-08
 lu  71   1.484014  1.394014  2.082843  3.68828E-09  5.80077E-09  5.84962E-09
 hf  72   2.436017  1.726017  2.414847  3.36888E-08  5.32231E-08  5.34304E-08
 ta  73   1.521360  1.641360  2.330190  4.15689E-09  6.56169E-09  6.59283E-09
  w  74   2.367521  1.717521  2.406351  2.96357E-08  4.68162E-08  4.70023E-08
 re  75   1.427766  1.167766  1.856596  3.44839E-09  5.39227E-09  5.46915E-09
 os  76   2.349467  0.999467  1.688297  2.94172E-08  4.56895E-08  4.66556E-08
 ir  77   1.541071  0.221071  0.909901  4.62081E-09  6.41732E-09  7.32861E-09
 pt  78   2.325315  0.705315  1.394145  2.85350E-08  4.35436E-08  4.52565E-08
 au  79   1.543613  0.743613  1.432443  4.76279E-09  7.27178E-09  7.55379E-09
 hg  80   2.840810  1.670810  2.359640  9.61554E-08  1.51877E-07  1.52502E-07
 tl  81   2.523100  1.753100  2.441930  4.71411E-08  7.44926E-08  7.47657E-08
 pb  82   4.063820  2.023820  2.712650  1.65983E-06  2.62734E-06  2.63250E-06
 bi  83   1.998146  1.348146  2.036976  1.43915E-08  2.26131E-08  2.28249E-08
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
