                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r23.05.1"          1.9984167041696339E+000          1.4003104684100200E+000          2.3147059091157366E+003                       "gfortran"                         "10.2.0"            "x86_64-linux-21.4.1"                       "20260425" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index                       Omega_star                        Omega_orb                   beta_accretion                    eta_accretion                           f_conv                vwind_over_vorbit         angular_momentum_j_orbit               wind_mass_transfer 
                              10          8.5623555070065731E+002          2.3169274284920975E+003          1.1078598922370848E+003          9.9670950324661565E+000          1.4224279108657781E+001          4.5427748621725357E+002          3.8617721063937807E+002         -5.4025308397720595E-001         -1.0000000000000000E+000          1.9984165282965525E+000          1.4003105043024111E+000         -4.5265091309596897E+001         -9.6341935273628376E+000         -1.0324511098573932E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.7332938542532741E+000         -9.8999999999999986E+001          8.0000000000000004E-001          2.0402455006912326E-001          3.0525821877415806E+053          4.2121662560745845E+039          0.0000000000000000E+000         -5.0838738375043190E+025         -1.0608607692835473E+036          4.2132271168439189E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          6.3608012098881700E-008          3.1387280961907104E-008          2.0402455256322855E-001          4.8865190733552866E-001          1.0000000000000000E+000          6.2003190898163552E-001          3.0525821877415806E+053         -2.9846323690394615E+015 
                              20          1.7308310928654573E+003          2.3196431632104700E+003          1.1087254051115287E+003          9.9632045398903060E+000          1.4218724745940898E+001          4.5463237461750606E+002          3.8647892470980753E+002         -5.2661757498610995E-001         -1.0000000000000000E+000          1.9984162944635366E+000          1.4003105519905272E+000         -4.1935525378562303E+001         -9.5259805720684465E+000         -1.0216613458781985E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.6250001140875305E+000         -9.8999999999999986E+001          8.0000000000000004E-001          2.0387647368781672E-001          3.0537741964880649E+053          4.3862275294866894E+039          0.0000000000000000E+000         -5.0699800563667061E+025         -1.3612591030909475E+036          4.3875887885898309E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          5.7975589139071296E-008          3.1350534133784808E-008          2.0387647672227585E-001          4.8844818661691813E-001          1.0000000000000000E+000          6.2027435810696130E-001          3.0537741964880649E+053         -3.8263834063904585E+015 
                              30          2.4813852579607956E+003          2.3220260042777732E+003          1.1094845415840036E+003          9.9597960796570479E+000          1.4213858145393687E+001          4.5494364230108556E+002          3.8674355921242727E+002         -5.1561846120249788E-001         -1.0000000000000000E+000          1.9984160432596088E+000          1.4003106031863040E+000         -3.9456924261774262E+001         -9.4357480443090456E+000         -1.0126662709239293E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.5346954561301036E+000         -9.8999999999999986E+001          8.0000000000000004E-001          2.0374423779957285E-001          3.0548192840083751E+053          4.4187436281819224E+039          0.0000000000000000E+000         -5.0575987142648247E+025         -1.6758505596682526E+036          4.4204194787416411E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          5.3674927304618620E-008          3.1318362512933771E-008          2.0374424081779713E-001          4.8826620226833284E-001          1.0000000000000000E+000          6.2049105547256722E-001          3.0548192840083751E+053         -4.7069461962138090E+015 
                              40          3.0548122115278325E+003          2.3238405043247103E+003          1.1100624358482023E+003          9.9572038271341619E+000          1.4210156572138199E+001          4.5518059303627194E+002          3.8694501512633911E+002         -5.0753237837761256E-001         -1.0000000000000000E+000          1.9984158134639176E+000          1.4003106499926630E+000         -3.7719214676260442E+001         -9.3667280868829863E+000         -1.0057859978610661E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.4656199326247776E+000         -9.8999999999999986E+001          8.0000000000000004E-001          2.0364235384011853E-001          3.0556145912703607E+053          4.3647243072487114E+039          0.0000000000000000E+000         -5.0480758954886840E+025         -1.9647303377172794E+036          4.3666890375864795E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          5.0638932456660409E-008          3.1293908523882472E-008          2.0364235639628886E-001          4.8812595253223900E-001          1.0000000000000000E+000          6.2065813594972874E-001          3.0556145912703607E+053         -5.5149548927853890E+015 
                              50          3.4530623915528818E+003          2.3250802533659153E+003          1.1104571908651069E+003          9.9554343080911636E+000          1.4207629582613553E+001          4.5534245063692549E+002          3.8708262957333835E+002         -5.0216448011464754E-001         -1.0000000000000000E+000          1.9984156316863242E+000          1.4003106870031392E+000         -3.6615830395564728E+001         -9.3202410582370963E+000         -1.0011521609924898E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.4190948972375974E+000         -9.8999999999999986E+001          8.0000000000000004E-001          2.0357265854184009E-001          3.0561577222652620E+053          4.2854196084026705E+039          0.0000000000000000E+000         -5.0415699064658553E+025         -2.1868681321408776E+036          4.2876064765348616E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          4.8700517424852591E-008          3.1277222393142740E-008          2.0357266059391332E-001          4.8802999497604282E-001          1.0000000000000000E+000          6.2077249251925837E-001          3.0561577222652620E+053         -6.1359291085703480E+015 
                              60          3.8028491056084808E+003          2.3261503698549791E+003          1.1107978742369512E+003          9.9539079766197904E+000          1.4205449708852553E+001          4.5548213656831501E+002          3.8720139538819308E+002         -4.9760137188706749E-001         -1.0000000000000000E+000          1.9984154560692036E+000          1.4003107227482705E+000         -3.5740453752318622E+001         -9.2817891565219366E+000         -9.9731940164588462E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.3806112271328672E+000         -9.8999999999999986E+001          8.0000000000000004E-001          2.0351439821270623E-001          3.0566263664843466E+053          4.2121709793090718E+039          0.0000000000000000E+000         -5.0361364352029751E+025         -2.3894709401598412E+036          4.2145604502492818E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          4.7201589692458089E-008          3.1262833696758896E-008          2.0351440039825999E-001          4.8794977181955396E-001          1.0000000000000000E+000          6.2086812671170943E-001          3.0566263664843466E+053         -6.7020540631496000E+015 
                              70          4.1418772145555231E+003          2.3271677529427016E+003          1.1111217192332338E+003          9.9524577855255849E+000          1.4203378400947692E+001          4.5561491725986355E+002          3.8731429232854902E+002         -4.9310002723451807E-001         -1.0000000000000000E+000          1.9984152699409623E+000          1.4003107606222813E+000         -3.4899558691630411E+001         -9.2432979636095158E+000         -9.9348210521180906E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.3420898301525082E+000         -9.8999999999999986E+001          8.0000000000000004E-001          2.0345900275454396E-001          3.0570717671750397E+053          4.1191027691105267E+039          0.0000000000000000E+000         -5.0309743962131189E+025         -2.6110720337408502E+036          4.1217138411443179E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          4.5779268778599986E-008          3.1249166320078740E-008          2.0345900507671971E-001          4.8787348486437065E-001          1.0000000000000000E+000          6.2095909272425176E-001          3.0570717671750397E+053         -7.3211767384084000E+015 
                              80          4.4730826697964976E+003          2.3281372898470995E+003          1.1114302885013303E+003          9.9510766437415192E+000          1.4201405525559238E+001          4.5574143338083979E+002          3.8742186519015553E+002         -4.8888717705224066E-001         -1.0000000000000000E+000          1.9984150718262899E+000          1.4003108009246514E+000         -3.4133661606520221E+001         -9.2070242743118662E+000         -9.8986599524486234E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.3057873869724475E+000         -9.8999999999999986E+001          8.0000000000000004E-001          2.0340626341442930E-001          3.0574960828084479E+053          4.0085271104272341E+039          0.0000000000000000E+000         -5.0260636611695627E+025         -2.8386849851904656E+036          4.0113657954124748E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          4.4483830222325253E-008          3.1236152817777519E-008          2.0340626588917748E-001          4.8780084815928482E-001          1.0000000000000000E+000          6.2104572928256008E-001          3.0574960828084479E+053         -7.9568650211130470E+015 
                              90          4.7971489563024452E+003          2.3290582742130155E+003          1.1117233635980488E+003          9.9497654439606471E+000          1.4199532353002088E+001          4.5586159533319722E+002          3.8752403785243513E+002         -4.8479304921314564E-001         -1.0000000000000000E+000          1.9984148613234818E+000          1.4003108437363383E+000         -3.3409858012079759E+001         -9.1714851286913603E+000         -9.8632278448036175E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.2702209139629286E+000         -9.8999999999999986E+001          8.0000000000000004E-001          2.0335613726101093E-001          3.0578990214427673E+053          3.8805443286226256E+039          0.0000000000000000E+000         -5.0213996230038410E+025         -3.0809154274220831E+036          3.8836252440500978E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          4.3270706644237387E-008          3.1223801040788920E-008          2.0335613987652598E-001          4.8773180387823328E-001          1.0000000000000000E+000          6.2112810315077194E-001          3.0578990214427673E+053         -8.6332456497687790E+015 
